day,phase,baseline_rate_10k,requested_rate_10k,actual_rate_10k,baseline_pressure_mpa,actual_pressure_mpa,inventory,compressor_4500_load,compressor_4000_load,renewable_share,station_power_kwh,grid_power_kwh,startup_shutdown_cost_yuan,operating_cost_yuan,penalty,inference_time_ms,reward
1,extraction,795.3,795.792688490753,795.7926884907529,25.0,24.645776222454472,0.9926315491806412,0.48467081785202026,0.4767199754714966,0.5059608221054077,121921.25382089085,60233.87600555083,6000.0,31298.22792233135,16.395187437792483,0.032541999999580185,-30.53695376868395
2,extraction,801.7829268292683,802.2833677938926,802.2833677938926,24.63529411764706,24.349002222714137,0.9852029994788459,0.48559844493865967,0.477647602558136,0.5070216655731201,118860.3381636134,58595.57153731384,0.0,24610.14004567181,0.07569031471389813,0.028583999998943455,-12.291123989734556
3,extraction,808.2658536585366,808.7741025495754,808.7741025495754,24.270588235294117,24.051892679839607,0.9777143503811647,0.48647770285606384,0.47852686047554016,0.5080975294113159,119089.5556216875,58580.44663161659,0.0,24603.78758527897,0.07460683232561201,0.02899999999961267,-12.300098424748684
4,extraction,814.7487804878049,815.2648925244358,815.2648925244357,23.905882352941177,23.754447585675525,0.9701656013763088,0.487308531999588,0.4793577194213867,0.5091879963874817,119308.89689499629,58558.23873383249,0.0,24594.460268209645,0.07352500051181597,0.028834000000088622,-12.307440973765718
5,extraction,821.2317073170731,821.7557376535731,821.7557376535731,23.541176470588233,23.456666929632995,0.9625567519535906,0.48809099197387695,0.48014014959335327,0.5102927684783936,119518.36555932007,58529.00791404195,0.0,24582.183323897618,0.07244699546357654,0.029167000000995813,-12.313162204129021
6,extraction,827.7146341463414,828.246637758267,828.246637758267,23.176470588235293,23.15855070288737,0.954887801603977,0.4888250529766083,0.4808742105960846,0.5114115476608276,119717.96411668131,58492.81480496589,0.0,24566.982218085675,0.07137265892913454,0.027625000001307853,-12.317270315523372
7,extraction,834.1975609756097,834.7375926579863,834.7375926579864,22.811764705882354,22.8600988967028,0.9471587498201067,0.489510715007782,0.4815598726272583,0.5125439763069153,119907.68970467059,58449.72563366296,0.0,24548.884766138443,0.07030111731748245,0.028957999999690287,-12.319773321924588
8,extraction,840.680487804878,841.2286021703882,841.2286021703883,22.44705882352941,22.56131150243327,0.9393695960963069,0.49014797806739807,0.4821971356868744,0.5136897563934326,120087.54232188751,58399.80196067109,0.0,24527.916823481857,0.06923286785994028,0.02958299999988867,-12.320679962663645
9,extraction,847.1634146341463,847.7196662296661,847.719666229666,22.08235294117647,22.262188509841014,0.9315203399275137,0.49073684215545654,0.48278599977493286,0.5148484706878662,120257.5219678267,58343.12069397865,0.0,24504.110691471033,0.06816794069915447,0.02854100000071469,-12.320000879267514
10,extraction,853.6463414634146,854.2107845333186,854.2107845333185,21.71764705882353,21.962729912138748,0.9236109808114644,0.4912773072719574,0.4833264946937561,0.5160198211669922,120417.63150118786,58279.746828592135,0.0,24477.493668008698,0.0671068231170815,0.02929099999882112,-12.317745382906338
11,extraction,860.1292682926829,860.7019570738072,860.7019570738071,21.352941176470587,21.66293569843159,0.9156415182459662,0.491769403219223,0.48381856083869934,0.5172035098075867,120567.86841851806,58209.743702441236,0.0,24448.092355025317,0.06604865593259877,0.026625000000279897,-12.313920825733456
12,extraction,866.6121951219511,867.193183605087,867.1931836050871,20.988235294117647,21.36280586127384,0.9076119517311043,0.49221307039260864,0.48426222801208496,0.5183991193771362,120708.22914164896,58133.189453044564,0.0,24415.939570278715,0.06499327554861073,0.02695799999941073,-12.308537480350529
13,extraction,873.0951219512194,873.6844639384764,873.6844639384764,20.623529411764707,21.06234039247596,0.899522280768711,0.49260833859443665,0.48465749621391296,0.5196062922477722,120838.7168877823,58050.15924574348,0.0,24381.06688321226,0.0639418344723193,0.02875000000024386,-12.301606787294117
14,extraction,879.5780487804877,880.1757979449188,880.1757979449189,20.258823529411764,20.761539283102223,0.8913725048618136,0.49295520782470703,0.48500436544418335,0.5208247303962708,120959.33165592694,57960.720357315695,0.0,24343.50255007259,0.06289382111053679,0.028957999999690287,-12.29313704872879
15,extraction,886.060975609756,886.667185495359,886.6671854953589,19.894117647058824,20.460402524309735,0.8831626235146344,0.4932536780834198,0.4853028655052185,0.5220540165901184,121070.07630611467,57864.95668163538,0.0,24303.28180628686,0.06184973708931754,0.028666999998705478,-12.283140314631584
16,extraction,892.5439024390244,893.1586263360543,893.1586263360542,19.52941176470588,20.158930109031996,0.874892636233745,0.49350374937057495,0.48555293679237366,0.5232937932014465,121170.94511435086,57762.94161965791,0.0,24260.43548025632,0.060808166789734365,0.02954200000004903,-12.271624535874636
17,extraction,899.0268292682927,899.6501203352317,899.6501203352318,19.16470588235294,19.857122028620637,0.8665625425269373,0.4937054216861725,0.4857545793056488,0.5245437026023865,121261.93807962349,57654.752094596464,0.0,24214.995879730515,0.059770088496491146,0.027959000000521428,-12.258600886374722
18,extraction,905.5097560975609,906.1416673611184,906.1416673611184,18.8,19.55497827452253,0.8581723419032232,0.4938586950302124,0.4859078526496887,0.5258033871650696,121343.06092296646,57540.4684806933,0.0,24166.996761891187,0.05873648043328847,0.028500000000875048,-12.24408136192767
19,extraction,911.9926829268292,912.6332672182401,912.6332672182401,18.435294117647057,19.25249883912203,0.8497220338734247,0.4939635694026947,0.486012727022171,0.5270724892616272,121414.31078185553,57420.16776607811,0.0,24116.470461752808,0.0577059316581515,0.028374999999414285,-12.228074515255866
20,extraction,918.4756097560975,919.1249197093108,919.1249197093108,18.070588235294117,18.949683714903628,0.8412116179501904,0.494020015001297,0.4860692024230957,0.5283505916595459,121475.68443612478,57293.93469204996,0.0,24063.452570660982,0.05667840204455054,0.028625000000559453,-12.210591432643124
21,extraction,924.9585365853658,925.6166246998405,925.6166246998406,17.705882352941174,18.64653289361122,0.8326410936474141,0.49402809143066406,0.4860772490501404,0.5296372771263123,121527.18546101997,57161.85785662099,0.0,24007.980299780815,0.05565504838603312,0.02924999999898148,-12.191645349248944
22,extraction,931.4414634146341,932.1083819902794,932.1083819902793,17.341176470588234,18.343046367928622,0.8240104604808375,0.4939877390861511,0.48603689670562744,0.5309323072433472,121568.8102787299,57024.00134861509,0.0,23950.08056641834,0.057378657340066426,0.024166999999408745,-12.173986831392304
23,extraction,937.9243902439024,938.6001914447793,938.6001914447793,16.976470588235294,18.03922412980056,0.81531971796746,0.49389898777008057,0.4859481453895569,0.5322351455688477,121600.56210686207,56880.46923266263,0.0,23889.797077718304,0.05965359675708212,0.023957999999879576,-12.15543467661325
24,extraction,944.4073170731707,945.0920528615254,945.0920528615254,16.61176470588235,17.735066172113218,0.8065688656261495,0.4937618374824524,0.4858109951019287,0.5335454940795898,121622.44094386653,56731.33559930552,0.0,23827.16095170832,0.061932178723375156,0.024083000001340338,-12.135450692085676
25,extraction,950.8902439024389,951.583966036893,951.5839660368932,16.24705882352941,17.430572487856857,0.7977579029776597,0.4935762584209442,0.48562541604042053,0.5348629355430603,121634.44070850569,56576.68668801602,0.0,23762.20840896673,0.06421543559086076,0.02416600000110236,-12.114046947966514
26,extraction,957.3731707317072,958.0759308323164,958.0759308323163,15.88235294117647,17.125743069284923,0.7888868295440271,0.4933422803878784,0.4853914678096771,0.5361871123313904,121636.57034041206,56416.60893569247,0.0,23694.97575299084,0.06650088786253004,0.023957999999879576,-12.091232856813049
27,extraction,963.8560975609755,964.5679470419061,964.5679470419061,15.517647058823528,16.82057790959466,0.7799556448491947,0.493059903383255,0.4851090908050537,0.5375175476074219,121628.82411595853,56251.19685877405,0.0,23625.5026806851,0.06879099824228319,0.023624999998972385,-12.067023193864278
28,extraction,970.3390243902438,971.0600145257386,971.0600145257386,15.152941176470588,16.515077001248002,0.7709643484184008,0.492729127407074,0.4847782850265503,0.5388539433479309,121611.20203407049,56080.52626272969,0.0,23553.82103034647,0.07108483679388666,0.02433300000070915,-12.041426695803882
29,extraction,976.8219512195121,977.5521330756599,977.5521330756599,14.788235294117646,16.20924033765215,0.7619129397788114,0.49234992265701294,0.48439911007881165,0.540195882320404,121583.70659654439,55904.68893583896,0.0,23479.969353052362,0.07338200503708193,0.024292000000869507,-12.014455272090183
30,extraction,983.3048780487804,984.0443024817047,984.0443024817044,14.423529411764704,15.903067912322223,0.7528014184595363,0.4919223487377167,0.483971506357193,0.5415428876876831,121546.33851702343,55723.78336864989,0.0,23403.989014832954,0.07568281965014229,0.02408299999956398,-11.986122485786636
31,extraction,989.7878048780487,990.5365226703686,990.5365226703686,14.058823529411764,15.596559717198474,0.7436297839903662,0.491446316242218,0.48349547386169434,0.5428946614265442,121499.08813899063,55537.88182013946,0.0,23325.910364458574,0.07798903756768687,0.02383300000019517,-11.956438601178375
32,extraction,996.2707317073169,997.0287933611919,997.0287933611917,13.694117647058823,15.289715746848648,0.7343980359036885,0.49092191457748413,0.48297107219696045,0.6104303598403931,121441.97083829044,47310.104879746286,0.0,19870.244049493438,0.0802965000663263,0.02408399999964672,-10.658458705682408
33,extraction,1002.7536585365852,1003.5211143401342,1003.5211143401341,13.329411764705881,14.98253599511248,0.7251061737338724,0.49034905433654785,0.48239824175834656,0.6117903590202332,121374.97123528067,47118.93400717784,0.0,19789.952283014693,0.08261035153759687,0.02429199999909315,-10.626552175387138
34,extraction,1009.2365853658536,1010.0134855323324,1010.0134855323324,12.96470588235294,14.675020454256998,0.7157541970159804,0.48972782492637634,0.48177698254585266,0.6131539344787598,121298.09898533882,46923.692347684264,0.0,19707.95078602739,0.08492644779270811,0.024208999999331127,-10.593393056654719
35,extraction,1015.7195121951219,1016.5059067228399,1016.5059067228399,12.599999999999998,14.36716911833722,0.7063421052870652,0.48905816674232483,0.48110732436180115,0.6145206093788147,121211.3505105354,46724.47753117209,0.0,19624.280563092278,0.08724701246140111,0.024207999999248386,-10.558996375804856
36,extraction,1022.2024390243902,1022.9983776948993,1022.9983776948993,12.235294117647058,14.058981981520548,0.6968698980861865,0.4883401095867157,0.480389267206192,0.6158899664878845,121114.72902785655,46521.38262570076,0.0,19538.980702794317,0.08957093121301954,0.02416600000110236,-10.523373514022618
37,extraction,1028.6853658536584,1029.4908982299419,1029.4908982299419,11.870588235294116,13.75045903808757,0.6873375749544278,0.48757362365722656,0.4796227812767029,0.6172616481781007,121008.2284559499,46314.489916118124,0.0,19452.08576476961,0.09189977182471479,0.02404199999972434,-10.486536264185645
38,extraction,1035.1682926829267,1035.9834682521987,1035.9834682521987,11.505882352941175,13.441600280748967,0.6777451354335742,0.4867587387561798,0.47880789637565613,0.6186352372169495,120891.85487390729,46103.89355639063,0.0,19363.635293684063,0.09423153553874085,0.024542000000238318,-10.448495470151432
39,extraction,1041.651219512195,1042.476087469437,1042.476087469437,11.141176470588235,13.132405704848374,0.6680925790681165,0.48589542508125305,0.47794458270072937,0.6200103163719177,120765.60219981063,45889.68297306087,0.0,19273.666848685567,0.09656826190960996,0.024166999999408745,-10.409264527929825
40,extraction,1048.1341463414633,1048.9687557322234,1048.9687557322234,10.776470588235293,12.82287530416472,0.6583799054039292,0.4849837124347687,0.477032870054245,0.6213864684104919,120629.47651218601,45671.95211607235,0.0,19182.219888750387,0.09890794708563799,0.02433300000070915,-10.368854255834933
41,extraction,1054.6170731707316,1055.4614728174608,1055.4614728174606,10.411764705882351,12.512901194017953,0.6486071139889528,0.4840247333049774,0.47607389092445374,0.6227633357048035,120483.70883692321,45450.87242355461,0.0,19089.366417892936,0.10121311745882652,0.03058399999922301,-10.327266079624263
42,extraction,1061.1,1061.954238574358,1061.954238574358,10.04705882352941,12.202449108081142,0.6387742043725235,0.4830189049243927,0.475068062543869,0.6241404414176941,120328.3842882969,45226.57340352135,0.0,18995.16082947897,0.10350811425740969,0.030250000000009436,-10.284547722043763
43,extraction,1051.8089743589742,1052.647442842527,1052.647442842527,9.682352941176468,11.893217253867938,0.6290274687906483,0.4748900830745697,0.466939240694046,0.6255174279212953,118598.62843971256,44413.11942311018,0.0,18653.510157706278,0.34552633259026166,0.030666999998985034,-10.291435316094926
44,extraction,1042.5179487179487,1043.340805735064,1043.340805735064,9.317647058823528,11.584138158376495,0.6193669057745829,0.46683430671691895,0.45888346433639526,0.6268938183784485,116883.77508976648,43610.059017254986,0.0,18316.224787247094,0.34287281524144997,0.02437500000063153,-10.055936579131682
45,extraction,1033.226923076923,1034.0343269268344,1034.0343269268342,8.952941176470587,11.275524063082623,0.6097925138585937,0.458848237991333,0.4508973956108093,0.6282693147659302,115183.14331249974,42817.10879096959,0.0,17983.18569220723,0.3403264474292864,0.024292000000869507,-9.82274739920638
46,extraction,1023.9358974358973,1024.7280059496622,1024.728005949662,8.588235294117645,10.967390173714172,0.600304291581282,0.4509316384792328,0.4429808259010315,0.629643440246582,113496.68732794956,42034.24266218874,0.0,17654.38191811927,0.33778143459568494,0.023875000000117552,-9.591758896417616
47,extraction,1014.6448717948717,1015.4218424114348,1015.4218424114348,8.223529411764705,10.6597364800353,0.5909022374848798,0.44308456778526306,0.43513375520706177,0.6310157775878905,111824.41357040616,41261.44428796646,0.0,17329.80660094591,0.33522914246147206,0.02383400000027791,-9.362964259010065
48,extraction,1005.353846153846,1006.115835782189,1006.115835782189,7.858823529411763,10.352562973623517,0.5815863501165262,0.43530702590942383,0.42735618352890015,0.6323859691619873,110166.3220357994,40498.6857061788,0.0,17009.447996595096,0.3326707018849876,0.024166999999408745,-9.136364324685573
49,extraction,996.0628205128204,996.8099856093237,996.8099856093237,7.494117647058822,10.045869645351829,0.5723566280275509,0.4275989532470703,0.41964811086654663,0.6337535381317139,108522.40628335168,39745.94733471022,0.0,16693.29788057829,0.3301072484044273,0.02433300000070915,-8.911961071899427
50,extraction,986.7717948717948,987.5042916522051,987.5042916522052,7.12941176470588,9.739656483702138,0.563213069771512,0.4199603796005249,0.4120095670223236,0.6351181864738465,106892.67239088869,39003.192154644465,0.0,16381.340704950675,0.3275367730688075,0.02462500000000034,-8.689751382457052
51,extraction,977.4807692307692,978.198753257946,978.198753257946,6.764705882352939,9.43392348233095,0.5541556739080125,0.41239133477211,0.4044404923915863,0.636479377746582,105277.11785000119,38270.40338987885,0.0,16073.569423749115,0.3249607539621867,0.024749999999684746,-8.469738602890763
52,extraction,968.1897435897436,968.8933701924025,968.8933701924026,6.4,9.1286706299902,0.5451844389988235,0.4048917591571808,0.3969409167766571,0.6378368139266968,103675.73908261226,37547.53598466334,0.0,15769.965113558601,0.322379446699433,0.024417000000553912,-8.25192027122991
53,extraction,958.8987179487178,959.588141950921,959.588141950921,6.4,9.07919203657089,0.5362993636103891,0.40104129910469055,0.39309045672416687,0.6391900181770325,102818.78107900967,37098.04253217716,0.0,15581.177863514407,0.19808481321626537,0.02437500000063153,-8.001790695778892
54,extraction,949.6076923076922,950.2830681692951,950.283068169295,6.4,9.03019357512625,0.5275004463125252,0.3971909284591675,0.3892400860786438,0.6405386924743652,101961.84250068007,36651.3372230173,0.0,15393.561633667265,0.1978513084457707,0.0245840000001607,-7.876034391816949
