day,phase,baseline_rate_10k,requested_rate_10k,actual_rate_10k,baseline_pressure_mpa,actual_pressure_mpa,inventory,compressor_4500_load,compressor_4000_load,renewable_share,station_power_kwh,grid_power_kwh,startup_shutdown_cost_yuan,operating_cost_yuan,penalty,inference_time_ms,reward
1,extraction,795.3,795.8183144739945,795.8183144739945,25.0,24.64538823706108,0.9926313119030186,0.5120294690132141,0.5720294713973999,0.4907820119179007,134025.8965627378,68248.39739857688,6000.0,34664.32690740229,18.414862482131046,0.029500000000126647,-34.47305285212491
2,extraction,801.7829268292683,802.3093802009221,802.3093802009221,24.63529411764706,24.34861023628308,0.9852025213456026,0.5130182504653931,0.5730182528495789,0.4918110301119327,130977.45936376511,66561.30015262798,0.0,27955.74606410375,0.08006449408184776,0.026166999999910345,-14.208305578874876
3,extraction,808.2658536585366,808.8005036867502,808.8005036867502,24.270588235294117,24.051496680668397,0.9777136277929475,0.5139554738998413,0.5739554762840271,0.49285461806576336,131218.5047727637,66546.85871982269,0.0,27949.68066232553,0.07890026423491983,0.025582999999995693,-14.218479207487155
4,extraction,814.7487804878049,815.2916847983475,815.2916847983474,23.905882352941177,23.754047560260943,0.9701646307114813,0.5148411393165588,0.5748411417007446,0.49391237106384267,131449.03278871113,66524.72932999002,0.0,27940.386318595807,0.07773937664952861,0.025042000000086162,-14.22691177792756
5,extraction,821.2317073170731,821.7829233452205,821.7829233452205,23.541176470588233,23.456262866030368,0.9625555295693959,0.5156752467155457,0.5756752490997314,0.49498400002363496,131669.04341014446,66494.97362370552,0.0,27927.888921956317,0.07658185302663166,0.025208000000054298,-14.233611499410443
6,extraction,827.7146341463414,828.2742191928799,828.27421919288,23.176470588235293,23.158142588193694,0.9548863238361285,0.5164578557014465,0.5764578580856323,0.49606921586260455,131878.54879537824,66457.66050535673,0.0,27912.217412249825,0.07542974645232689,0.0248339999999736,-14.23859035223129
7,extraction,834.1975609756097,834.7655720902993,834.7655720902994,22.811764705882354,22.859686718736764,0.9471570129834406,0.5171888470649719,0.5771888494491577,0.49716767168170867,132077.5246237896,66412.84922509658,0.0,27893.396674540563,0.074276993885829,0.02462500000000034,-14.241848599939326
8,extraction,840.680487804878,841.2569819589935,841.2569819589935,22.44705882352941,22.560895247215313,0.9393675964838203,0.5178683400154114,0.5778683423995972,0.49827907839841146,132265.99521347083,66360.61701505388,0.0,27871.459146322628,0.07313173282389908,0.024542000000016273,-14.243406153329644
9,extraction,847.1634146341463,847.7484485447665,847.7484485447662,22.08235294117647,22.261768165794035,0.9315180738121095,0.5184962749481201,0.5784962773323059,0.4994030312971632,132443.94840312214,66301.03909363787,0.0,27846.436419327903,0.07198790007178088,0.02733300000001826,-14.243266290615603
10,extraction,853.6463414634146,854.2399717090535,854.2399717090534,21.71764705882353,21.96230546505047,0.923608444444433,0.5190725922584534,0.5790725946426392,0.5005392412954279,132611.37203233186,66234.17648812274,0.0,27818.354125011552,0.07084552182323944,0.027082999999983315,-14.241436150928505
11,extraction,860.1292682926829,860.7315512532099,860.7315512532099,21.352941176470587,21.662507136493574,0.9156387078587551,0.5195974111557007,0.5795974135398865,0.5016874193106703,132768.29041826943,66160.10943203825,0.0,27787.245961456065,0.06971069896437271,0.027167000000050123,-14.237933908515958
12,extraction,866.6121951219511,867.223187037312,867.2231870373118,20.988235294117647,21.362373170885082,0.9076088635343356,0.5200706720352173,0.5800706744194031,0.5028471606273399,132914.6914005127,66078.91622410578,0.0,27753.144814124425,0.06857737785844029,0.026916000000154483,-14.232763159253699
13,extraction,873.0951219512194,873.7148788604516,873.7148788604516,20.623529411764707,21.061903559919863,0.8995189109522943,0.5204923748970032,0.580492377281189,0.5040181183463943,133050.57497751876,65990.6745324439,0.0,27716.083303626434,0.06744760611792856,0.02725000000003419,-14.225936145730788
14,extraction,879.5780487804877,880.2066265199084,880.2066265199084,20.258823529411764,20.761098295388617,0.8913688495956285,0.5208625197410583,0.5808625221252441,0.5052000033852977,133175.94114773063,65895.45522905691,0.0,27676.091196203903,0.06632140470351444,0.02458300000007796,-14.21746199955634
15,extraction,886.060975609756,886.6984298111513,886.6984298111512,19.894117647058824,20.45995736917877,0.883158678949229,0.5211811661720276,0.5811811685562134,0.5063924110285001,133290.8020689251,65793.35144131954,0.0,27633.207605354204,0.06520082103915013,0.02437500000018744,-14.207355927048697
16,extraction,892.5439024390244,893.1902886525247,893.1902886525246,19.52941176470588,20.158480771592497,0.8748883984987426,0.5214481949806213,0.5814481973648071,0.5075949943769587,133395.13342178,65684.43142263792,0.0,27587.461197507924,0.06407980605816,0.02408300000000807,-14.195619106164907
17,extraction,899.0268292682927,899.6822027129991,899.6822027129992,19.16470588235294,19.85666849638953,0.8665580077328815,0.5216636657714844,0.5816636681556702,0.5088074065316305,133488.94736310048,65568.78225464399,0.0,27538.88854695047,0.0629644503303789,0.025291000000038366,-14.182269776998405
18,extraction,905.5097560975609,906.1741719091077,906.1741719091077,18.8,19.55452053406959,0.8581675061411305,0.5218275785446167,0.5818275809288025,0.5100293005934731,133572.24389224558,65446.48576118276,0.0,27487.524019696757,0.061852757713079264,0.02458300000007796,-14.167316554030844
