day,phase,baseline_rate_10k,requested_rate_10k,actual_rate_10k,baseline_pressure_mpa,actual_pressure_mpa,inventory,compressor_4500_load,compressor_4000_load,renewable_share,station_power_kwh,grid_power_kwh,startup_shutdown_cost_yuan,operating_cost_yuan,penalty,inference_time_ms,reward
1,extraction,795.3,784.0025909287109,784.0025909287108,25.0,24.824281983486003,0.9927407167506601,0.49555858969688416,0.43555858731269836,0.5059608221054077,119055.09196761504,58817.87975984561,6000.0,30703.509499135154,16.888587482749045,3.7082919999988917,-30.64990736796367
2,extraction,801.7829268292683,790.4076540520142,790.4076540520141,24.63529411764706,24.527964541582318,0.9854221273612896,0.49646323919296265,0.43646323680877686,0.5070216655731201,115988.83134960201,57179.98089084707,0.0,24015.59197415577,1.0343777307115527,3.3001250000008753,-12.868960106584588
3,extraction,808.2658536585366,796.8130086799193,796.8130086799193,24.270588235294117,24.23131498213922,0.9780442291327719,0.49732106924057007,0.4373210668563843,0.5080975294113159,116213.02180285624,57165.47253940159,0.0,24009.498466548666,1.0368406394480847,3.2581250000003337,-12.881123671080386
4,extraction,814.7487804878049,803.2186553799015,803.2186553799014,23.905882352941177,23.93433329649863,0.9706070193607358,0.4981321096420288,0.438132107257843,0.5091879963874817,116427.66941140968,57144.097699749895,0.0,24000.521033894955,1.039335097817814,3.6394170000004777,-12.89173467736457
5,extraction,821.2317073170731,809.6245974438491,809.6245974438491,23.541176470588233,23.637019435676905,0.9631104953103298,0.4988963305950165,0.4388963282108307,0.5102927684783936,116632.76812087029,57115.90998117287,0.0,23988.6821920926,1.041858786057937,2.955457999998856,-12.900797748232325
6,extraction,827.7146341463414,816.0308335963963,816.0308335963964,23.176470588235293,23.339373417890183,0.9555546542585113,0.4996137320995331,0.4396137297153473,0.5114115476608276,116828.31792144323,57080.96704262674,0.0,23974.00615790323,1.0444128159886505,2.9477920000005042,-12.9083218467458
7,extraction,834.1975609756097,822.437366204388,822.4373662043881,22.811764705882354,23.041395207667584,0.9479394934603225,0.5002843141555786,0.4402843117713928,0.5125439763069153,117014.31883130589,57039.33457266322,0.0,23956.520520518552,1.0469969721309589,2.9463330000005783,-12.91431583119103
8,extraction,840.680487804878,828.8441967241166,828.8441967241165,22.44705882352941,22.74308478295444,0.9402650101573213,0.5009080767631531,0.4409080743789673,0.5136897563934326,117190.77086164261,56991.07232616684,0.0,23936.250376990072,1.0496111165627777,2.920999999998841,-12.918787626228985
9,extraction,847.1634146341463,835.2513256650954,835.2513256650952,22.08235294117647,22.444442135162067,0.9325312015863483,0.5014849901199341,0.4414850175380707,0.5148484706878662,117357.6707977156,56936.25346402167,0.0,23913.2264548891,1.0522546529153705,2.9142079999999737,-12.92174660431211
10,extraction,853.6463414634146,841.658754461881,841.6587544618809,21.71764705882353,22.145467242298672,0.9247380649709604,0.5020151138305664,0.442015141248703,0.5160198211669922,117515.02508784391,56874.94285758009,0.0,23887.476000183637,1.0549290516920238,2.9242499999995175,-12.923203346601415
11,extraction,860.1292682926829,848.0664845490302,848.0664845490302,21.352941176470587,21.84616008238131,0.9168855975214324,0.50249844789505,0.44249841570854187,0.5172035098075867,117662.83088202198,56807.201775943715,0.0,23859.02474589636,1.0576326236856766,2.9422080000003348,-12.923164139462106
12,extraction,866.6121951219511,854.4745154240699,854.4745154240699,20.988235294117647,21.546520660358837,0.908973796452691,0.5029348731040955,0.44293487071990967,0.5183991193771362,117801.0781628105,56733.10298153234,0.0,23827.90325224358,1.0603641940120363,2.9303750000000406,-12.92163717009286
13,extraction,873.0951219512194,860.8828504296055,860.8828504296055,20.623529411764707,21.24654892744778,0.9010026589487132,0.5033245086669922,0.4433245062828064,0.5196062922477722,117929.77983048394,56652.72418717007,0.0,23794.144158611427,1.0631272801049692,2.9343750000005997,-12.918637305627897
14,extraction,879.5780487804877,867.2914890341833,867.2914890341833,20.258823529411764,20.94624488862166,0.8929721821983967,0.5036672949790955,0.44366729259490967,0.5208247303962708,118048.92658263617,56566.12622166552,0.0,23757.77301309952,1.0659182023835871,2.926375000001258,-12.914168260329257
15,extraction,886.060975609756,873.7004336191386,873.7004336191386,19.894117647058824,20.645608508583994,0.8848823633685898,0.5039632320404053,0.44396325945854187,0.5220540165901184,118158.52129857877,56473.390660306664,0.0,23718.824077328798,1.0687387675171527,2.9067919999992142,-12.908243158965224
16,extraction,892.5439024390244,880.1096836023014,880.1096836023014,19.52941176470588,20.344639792388424,0.8767331996315315,0.5042123794555664,0.4442123472690582,0.5232937932014465,118258.56468909644,56374.59179438052,0.0,23677.328553639818,1.0715886329519129,2.919583000000614,-12.900871650737876
17,extraction,899.0268292682927,886.5192413577619,886.519241357762,19.16470588235294,20.043338704820474,0.8685246881374782,0.5044146180152893,0.4444146156311035,0.5245437026023865,118349.04961986479,56269.80093278735,0.0,23633.316391770688,1.0744662666674072,2.931624999998661,-12.892061243384836
18,extraction,905.5097560975609,892.9291082766051,892.929108276605,18.8,19.741705224093295,0.8602568260238059,0.5045700669288635,0.44457003474235535,0.5258033871650696,118429.98611514771,56159.098273890886,0.0,23586.82127503417,1.0773743865554382,2.9837910000001244,-12.881826013384682
19,extraction,911.9926829268292,899.3392837114541,899.3392837114541,18.435294117647057,19.439739355364765,0.851929610433885,0.5046786069869995,0.4446786046028137,0.5270724892616272,118501.36129537004,56042.55381652791,0.0,23537.87260294172,1.0803091915493535,2.925166999999007,-12.87017058965159
20,extraction,918.4756097560975,905.7497700363987,905.7497700363987,18.070588235294117,19.1374410635269,0.8435430384891036,0.5047403573989868,0.44474032521247864,0.5283505916595459,118563.18805336807,55920.257496329046,0.0,23486.508148458197,1.0832747510219698,2.920459000000264,-12.857112030152058
21,extraction,924.9585365853658,912.160567587067,912.1605675870671,17.705882352941174,18.834810340367124,0.8350971073077419,0.5047551989555359,0.4447551965713501,0.5296372771263123,118615.45351711617,55792.287691208105,0.0,23432.760830307405,1.0862667075839176,2.9494159999998715,-12.84265566324689
22,extraction,931.4414634146341,918.5716777110727,918.5716777110727,17.341176470588234,18.531847164283587,0.8265918139956023,0.5047231912612915,0.4447231888771057,0.5309323072433472,118658.16127324267,55658.70993518676,0.0,23376.658172778436,1.0914641815476407,2.922749999999752,-12.828989130466443
23,extraction,937.9243902439024,924.9831007078171,924.9831007078171,16.976470588235294,18.228551527162125,0.8180271556557152,0.5046443343162537,0.44464433193206787,0.5322351455688477,118691.31418506995,55519.62530202141,0.0,23318.242626848994,1.0976996897231572,2.911959000000408,-12.814959049699194
24,extraction,944.4073170731707,931.3948389586361,931.3948389586361,16.61176470588235,17.92492339403628,0.8094031293690611,0.5045186281204224,0.4445186257362366,0.5335454940795898,118714.91227088665,55375.105748701266,0.0,23257.54441445453,1.1039633052459032,2.936916000001233,-12.799564777466122
