timestep,reward,green_ratio,total_power_10k_kwh,grid_cost_10k_yuan,startup_cost_10k_yuan,total_cost_10k_yuan,penalty
5000,-67784.01679677164,0.002933537837167778,496.43999999999994,207.89314327996885,0.0,207.89314327996885,66883.21402980755
10000,-67664.12406990954,0.012748061871715805,496.43999999999994,205.8467679090503,0.0,205.8467679090503,66793.64942055372
15000,-67639.95638781287,0.013918957602059131,496.43999999999994,205.6026305289743,0.0,205.6026305289743,66773.04378568495
20000,-67562.78188569835,0.020703423890858344,496.43999999999994,204.18803674232146,0.0,204.18803674232146,66716.68736786931
25000,-67572.02681987951,0.019005159700733715,496.43999999999994,204.54213297763056,0.0,204.54213297763056,66720.85885239887
30000,-67583.02671071819,0.01832388779065485,496.43999999999994,204.68418144098717,0.0,204.68418144098717,66729.63588510061
35000,-67562.76559839203,0.02097751498390821,496.43999999999994,204.13088743378322,0.0,204.13088743378322,66717.36755378249
40000,-67574.51487394789,0.01902074762988004,496.43999999999994,204.53888281958137,0.0,204.53888281958137,66723.26816055758
45000,-67538.21541731656,0.022850369211894934,496.43999999999994,203.74038833754764,0.0,203.74038833754764,66698.6882502811
50000,-67281.29417655748,0.028694446478679206,505.035777400974,206.02850323293984,0.82,206.84850323293986,66442.08990575807
55000,-57393.56844420327,0.02550495850646562,1015.0292841424941,415.439221834389,10.66,426.099221834389,55609.86260967108
60000,-52514.90220788014,0.030577239439783757,1240.7789088730738,505.1925123355437,13.12,518.3125123355437,50336.0003762788
65000,-45535.79113950975,0.032629266251547086,1570.2303632253636,637.9778574235165,21.36,659.3378574235164,42746.652954497986
70000,-36751.891525772524,0.030751988217305383,2026.9224559745883,825.1280354062479,30.04,855.168035406248,33109.83989330915
75000,-30336.248838536885,0.032019828972892475,2324.539976581532,945.0456137181111,18.4,963.4456137181112,26191.961715654717
80000,-28543.453743472703,0.033489810315048954,2480.4287240165995,1006.8910473506999,16.28,1023.1710473506997,24130.455008919314
85000,-26871.401170298916,0.03653975132187125,2624.8818462268086,1062.1671128528817,5.15,1067.3171128528816,22239.88628679034
90000,-24931.495165605236,0.0389618297051869,2718.9942727470607,1097.4840579876227,6.799999999999999,1104.2840579876224,20138.00952405685
95000,-24058.833982697255,0.039638105505595475,2769.875794145334,1117.234929375435,9.01,1126.2449293754348,19172.521726167633
100000,-22360.42951801631,0.0397264042679832,2858.6630374304755,1152.9414262546193,9.419999999999998,1162.3614262546193,17313.951157856518
105000,-20428.344403389365,0.04021001375886492,2966.0644776518984,1195.65557336225,8.239999999999998,1203.89557336225,15194.428830027946
110000,-20021.677794263,0.044353971793323295,2988.4233761071036,1199.467470590232,7.16,1206.6274705902324,14772.76720914269
115000,-19567.6553320233,0.04930239351191597,3009.420875947954,1201.6406739451772,6.08,1207.7206739451776,14310.858196743846
120000,-18813.213000100426,0.054438347212652394,3056.6126813610376,1213.8906103457725,5.72,1219.6106103457728,13501.491504262704
125000,-18068.125704535756,0.05878525946251759,3113.7613937777646,1230.9016113828698,5.0,1235.9016113828698,12681.797373174686
130000,-17363.760291920975,0.06091341077946383,3170.318367571518,1250.4254542693018,3.5599999999999996,1253.985454269302,11893.338319227021
135000,-17065.058118821435,0.059959432807359506,3226.8664032466013,1274.0218360643814,12.0,1286.0218360643814,11467.873132810619
140000,-16614.14091503671,0.06385453254382598,3289.432786869253,1293.3427894503388,13.75,1307.0927894503388,10924.011341601112
145000,-15660.14414005093,0.06665260238642307,3398.5388692539354,1332.247311908835,11.39,1343.6373119088353,9799.363416880351
150000,-14517.994580458068,0.06458204253820207,3462.388877046128,1360.2879071480743,9.39,1369.6779071480746,8537.340035001693
155000,-13743.42300146473,0.06625251242189353,3530.6753588213696,1384.6388832164216,6.099999999999999,1390.7388832164218,7659.715810731062
160000,-13131.680929650312,0.06900609323661905,3587.477706595295,1402.7663519056678,4.56,1407.3263519056677,6968.620279451496
165000,-12836.69801672304,0.07289127660854013,3641.7009988344325,1418.0261608811736,4.56,1422.5861608811733,6602.353685349231
170000,-12767.045741040365,0.07146743723435336,3689.7906317738316,1438.9581155836436,4.56,1443.5181155836437,6439.232818964354
175000,-12468.867839579814,0.07397654578065956,3743.733730633598,1456.0498011858892,4.2,1460.249801185889,6063.470043506434
180000,-12461.635653487525,0.0766979234627953,3808.148334312179,1476.7499312294954,4.2,1480.9499312294956,5960.343302793478
185000,-12262.550539202486,0.07934973510199342,3869.8825010271617,1496.3795068718232,3.84,1500.2195068718233,5670.489110410741
190000,-12081.582298036377,0.07957841714480343,3954.4102071529605,1528.6842908931187,3.4799999999999995,1532.164290893119,5344.140679322358
195000,-11840.224711470351,0.07787925546814903,4020.253790938132,1557.006955940884,2.76,1559.7669559408837,4978.056547863611
200000,-11643.000908212498,0.07908417425979328,4090.0545065133965,1581.9702877390596,2.3999999999999995,1584.3702877390597,4667.403624272241
