day,phase,baseline_rate_10k,requested_rate_10k,actual_rate_10k,baseline_pressure_mpa,actual_pressure_mpa,inventory,compressor_4500_load,compressor_4000_load,renewable_share,station_power_kwh,grid_power_kwh,startup_shutdown_cost_yuan,operating_cost_yuan,penalty,inference_time_ms,reward
1,extraction,795.3,795.9320908287191,795.9320908287191,25.0,24.64366562749991,0.9926302584182526,0.5120294690132141,0.5120294690132141,0.5059608221054077,128266.77013626024,63368.80966931265,6000.0,32614.90006111131,17.464929383066732,0.07612500000009348,-32.44898210661516
2,extraction,801.7829268292683,802.4248520465183,802.424852046518,24.63529411764706,24.346870165734547,0.9852003986770811,0.5130181908607483,0.5130181908607483,0.5070216655731201,125218.33379930991,61729.92563609288,0.0,25926.568767159006,0.09024991962275183,0.028458999999925183,-13.14895197416269
3,extraction,808.2658536585366,808.917680959267,808.9176809592672,24.270588235294117,24.049739097899142,0.9777104201496805,0.5139553546905518,0.5139553546905518,0.5080975294113159,125459.38014663973,61713.77905265698,0.0,25919.78720211593,0.08920677720597342,0.026625000000057852,-13.15885032214577
4,extraction,814.7487804878049,815.4105772033323,815.4105772033322,23.905882352941177,23.752272416050747,0.9701603222126126,0.5148409605026245,0.5148409605026245,0.5091879963874817,125689.909175457,61690.116156281496,0.0,25909.848785638227,0.08816754128967699,0.026124999999987963,-13.167022280160205
5,extraction,821.2317073170731,821.9035406390968,821.903540639097,23.541176470588233,23.454470108978526,0.9625501042437321,0.5156750082969666,0.5156750082969666,0.5102927684783936,125909.92088468943,61658.998777545756,0.0,25896.779486569216,0.08713224787063478,0.025707999999902142,-13.173476153333908
6,extraction,827.7146341463414,828.3965709553086,828.3965709553086,23.176470588235293,23.156332168080944,0.9548797656237755,0.5164575576782227,0.5164575576782227,0.5114115476608276,126119.4274312942,61620.49585855859,0.0,25880.608260594607,0.08610294469097185,0.025375000000105175,-13.178223982862221
7,extraction,834.1975609756097,834.8896678953614,834.8896678953615,22.811764705882354,22.85785858401099,0.9471493057358555,0.5171884894371033,0.5171884894371033,0.5125439763069153,126318.40449460543,61574.66717419505,0.0,25861.36021316192,0.08507357803191663,0.02512500000007023,-13.1812661691868
8,extraction,840.680487804878,841.3828312008377,841.3828312008377,22.44705882352941,22.559049347515423,0.9393587239654774,0.517867922782898,0.517867922782898,0.5136897563934326,126506.87639133362,61521.58987577536,0.0,25839.06774782565,0.0840522799604132,0.025207999999832253,-13.182622672061722
9,extraction,847.1634146341463,847.8760606115083,847.8760606115081,22.08235294117647,22.25990444943568,0.931508019700556,0.5184957385063171,0.5184957385063171,0.5148484706878662,126684.81880078508,61461.333581831444,0.0,25813.760104369205,0.08303096995959483,0.025833000000030637,-13.182293266726433
10,extraction,853.6463414634146,854.3693559249597,854.3693559249596,21.71764705882353,21.960423879867562,0.9235971923308804,0.5190720558166504,0.5190720558166504,0.5160198211669922,126852.25604010037,61393.97756365827,0.0,25785.470576736472,0.08201778477170542,0.025166999999992612,-13.180298129643619
11,extraction,860.1292682926829,860.8627168786984,860.8627168786984,21.352941176470587,21.660607629841557,0.9156262412486703,0.5195968151092529,0.5195968151092529,0.5172035098075867,127009.175947916,61319.58436988453,0.0,25754.2254353515,0.08100667022252442,0.025124999999848185,-13.176638534217538
12,extraction,866.6121951219511,867.3561430873559,867.3561430873558,20.988235294117647,21.360455692168205,0.9075951658497133,0.5200700163841248,0.5200700163841248,0.5183991193771362,127155.57852127234,61238.23859195446,0.0,25720.06020862087,0.07999966841229326,0.025333000000182793,-13.171327902073815
13,extraction,873.0951219512194,873.8496344650547,873.8496344650546,20.623529411764707,21.059968055556084,0.8995039655305924,0.5204916000366211,0.5204916000366211,0.5196062922477722,127291.45160016233,61150.01239936522,0.0,25683.005207733393,0.07899479273281695,0.02483299999989086,-13.164372953615128
14,extraction,879.5780487804877,880.3431906223502,880.3431906223503,20.258823529411764,20.759144713010212,0.8913526396914966,0.5208616852760315,0.5208616852760315,0.5208247303962708,127416.81950029008,61054.9888361012,0.0,25643.095311162502,0.0779981381800682,0.02500000000016378,-13.155792200707133
15,extraction,886.060975609756,886.836811288146,886.8368112881459,19.894117647058824,20.457985655959376,0.8831411877351248,0.5211802124977112,0.5211802124977112,0.5220540165901184,127531.67006022604,60953.24946283929,0.0,25600.3647743925,0.07700365005589725,0.02524999999997668,-13.1455896518945
16,extraction,892.5439024390244,893.3304962518772,893.3304962518771,19.52941176470588,20.156490875091976,0.874869609066126,0.5214471817016602,0.5214471817016602,0.5232937932014466,127636.00327835309,60844.87497375143,0.0,25554.8474889756,0.07601338468579077,0.02516599999990987,-13.13377793618023
17,extraction,899.0268292682927,899.8242452401829,899.824245240183,19.16470588235294,19.85466036203641,0.8665379030916799,0.5216625928878784,0.5216625928878784,0.5245437026023865,127729.81915257181,60729.946881548574,0.0,25506.5776902504,0.07502736682131464,0.02595800000015913,-13.120367732807118
18,extraction,905.5097560975609,906.3180580411399,906.3180580411398,18.8,19.55249410768228,0.8581460692209286,0.521826446056366,0.521826446056366,0.5258033871650696,127813.1176812546,60608.547480323294,0.0,25455.589941735783,0.07404562600534538,0.06987500000010805,-13.105369803986738
19,extraction,911.9926829268292,912.8119342517193,912.8119342517193,18.435294117647057,19.24999210554377,0.8496941068667461,0.5219387412071228,0.5219387412071228,0.5270724892616272,127885.89886130625,60480.759807016875,0.0,25401.919118947088,0.0730681769258677,0.036208000000037543,-13.088794971238352
20,extraction,918.4756097560975,919.3058736559227,919.3058736559226,18.070588235294117,18.9471543467216,0.8411820154440061,0.5219994187355042,0.5219994187355042,0.5283505916595459,127948.15053172034,60346.66949654126,0.0,25345.601188547327,0.07209302228129143,0.03008299999995856,-13.070651707961959
