day,phase,baseline_rate_10k,requested_rate_10k,actual_rate_10k,baseline_pressure_mpa,actual_pressure_mpa,inventory,compressor_4500_load,compressor_4000_load,renewable_share,station_power_kwh,grid_power_kwh,startup_shutdown_cost_yuan,operating_cost_yuan,penalty,inference_time_ms,reward
1,extraction,795.3,793.375732499957,793.375732499957,25.0,24.6823696913589,0.9926539284027782,0.5190749168395996,0.43730607628822327,0.4734777231777442,121834.59996794586,64148.630970851584,6000.0,32942.425007757665,16.510505034180976,1.2664590003623744,-31.26390739968408
2,extraction,801.7829268292683,801.4481077940652,801.4481077940652,24.63529411764706,24.36167129332278,0.9852331125898702,0.5570802688598633,0.3853777050971985,0.47672290996152356,117716.05019405471,61598.11219636818,0.0,25871.207122474636,1.5452276673241014,1.0533750000831787,-14.177649366734816
3,extraction,808.2658536585366,808.6552153159932,808.6552153159934,24.270588235294117,24.05383192473434,0.9777455642999073,0.5737025737762451,0.38,0.4771813269724347,119050.3500214613,62241.74602168758,0.0,26141.53332910878,0.41983111515463956,1.0577079997347028,-13.224598930304797
4,extraction,814.7487804878049,815.4151011137847,815.4151011137847,23.905882352941177,23.752401656410754,0.9701954244747797,0.5800259113311768,0.38,0.4785291550977994,119785.18640032096,62464.48235894296,0.0,26235.082590756043,0.17162484628922792,1.0919589999502932,-13.05046786319234
5,extraction,821.2317073170731,821.9584417638981,821.9584417638982,23.541176470588233,23.453860916958092,0.962584698162151,0.5825105905532837,0.38,0.48041798587365747,120103.78461250137,62403.76631315989,0.0,26209.581851527153,0.10689016603427799,1.1927499999728752,-12.992989613943113
6,extraction,827.7146341463414,828.4033102996465,828.4033102996466,23.176470588235293,23.156427148615563,0.954914297140858,0.583884060382843,0.38,0.4822929836535011,120301.61594444833,62280.99065226275,0.0,26158.016073950355,0.08306209456864014,1.0820830002558068,-12.960244936257771
7,extraction,834.1975609756097,834.874641037467,834.874641037467,22.811764705882354,22.85826820884124,0.947183976390511,0.5848942995071411,0.38,0.4838441744166708,120460.42158993898,62176.34835587085,0.0,26114.066309465754,0.07541172136714763,1.0505840000405442,-12.944505801865786
8,extraction,840.680487804878,841.4295441684635,841.4295441684635,22.44705882352941,22.558573608324064,0.9393929620926549,0.5854635834693909,0.38,0.48491247780793856,120572.24591390802,62105.25939292678,0.0,26084.208945029248,0.07337634748756564,1.0137080003005394,-12.93720210161701
9,extraction,847.1634146341463,848.0031544943262,848.003154494326,22.08235294117647,22.258288657284776,0.9315410810325222,0.5859640836715698,0.38,0.48563790900203685,120676.78526304597,62071.56360281251,0.0,26070.056713181253,0.07954277297336551,1.0650829999576672,-12.943632542160856
10,extraction,853.6463414634146,854.5798960519272,854.5798960519271,21.71764705882353,21.95763784927093,0.9236283042172265,0.5865938067436218,0.38,0.48614094500817373,120795.30472998996,62071.76113600232,0.0,26070.139677120973,0.08946695424758902,1.0563330001787108,-12.959931846956435
11,extraction,860.1292682926829,861.0958746257788,861.0958746257788,21.352941176470587,21.657516312717057,0.9156551942669878,0.5875165462493896,0.38,0.48624550033569136,120945.00331206006,62136.039663485564,0.0,26097.136658663934,0.09730161843446797,1.0517910000089614,-12.98593735843819
12,extraction,866.6121951219511,867.6027298708223,867.6027298708223,20.988235294117647,21.357190016545985,0.9076218356570728,0.5886346697807312,0.38,0.4862227595465072,121115.73330172688,62226.50723126244,0.0,26135.133037130225,0.102621434955311,1.0629169996718701,-13.014690616399912
13,extraction,873.0951219512194,874.1221365001287,874.1221365001287,20.623529411764707,21.056357469458444,0.8995281121709605,0.5900686979293823,0.38,0.48613865173512494,121320.67738469428,62342.00685330694,0.0,26183.642878388913,0.11111384858545252,1.047833000029641,-13.052400420494793
14,extraction,879.5780487804877,880.5581598851157,880.5581598851157,20.258823529411764,20.75633553922964,0.891374795875728,0.5915332436561584,0.38,0.48611478719979573,121528.2769827828,62451.58447853951,0.0,26229.665480986594,0.10777728476058188,1.0521250001147564,-13.077488637447862
15,extraction,886.060975609756,887.0703020985533,887.0703020985532,19.894117647058824,20.45493503764836,0.883161181967408,0.5927035808563232,0.38,0.4861777577048763,121704.6866525998,62534.574993664246,0.0,26264.52149733898,0.10468616824933719,1.0436249999656866,-13.096956584731611
16,extraction,892.5439024390244,893.5728071208697,893.5728071208696,19.52941176470588,20.15333212250201,0.8748873596792518,0.593789279460907,0.38,0.486224190554747,121871.88134046624,62614.82448431386,0.0,26298.22628341182,0.10459531520976617,1.04383300003974,-13.118498541463444
17,extraction,899.0268292682927,900.0709237326063,900.0709237326065,19.16470588235294,19.85145405853808,0.8665533696446907,0.5948477387428284,0.38,0.4862422190384237,122036.10047849188,62696.99617903395,0.0,26332.738395194257,0.10518919928800603,1.0298749998582934,-13.140868323796758
18,extraction,905.5097560975609,906.4398764899299,906.4398764899298,18.8,19.55095975416215,0.8581604078253394,0.5959686636924744,0.38,0.4865612271326185,122206.07393022989,62745.33663567773,0.0,26353.041386984645,0.09735145425751793,1.08370800035118,-13.149796022082786
19,extraction,911.9926829268292,912.8244082407545,912.8244082407543,18.435294117647057,19.249907337715424,0.8497083299712583,0.5970808267593384,0.38,0.4871383950710282,122375.22074529754,62761.5521149705,0.0,26359.85188828761,0.08951536282865259,1.0472909998497926,-13.153636870936634
20,extraction,918.4756097560975,919.1895282562912,919.1895282562912,18.070588235294117,18.948759790184013,0.8411973158207371,0.5976840257644653,0.38,0.4886645629762257,122489.25035957058,62633.09436332553,0.0,26305.89963259672,0.07125548997058231,1.0429590001876932,-13.121350515433772
21,extraction,924.9585365853658,925.7014599800399,925.70145998004,17.705882352941174,18.64534808944013,0.8326260060061071,0.5979357361793518,0.38,0.49055561926297037,122566.4467200167,62440.78754841704,0.0,26225.130770335156,0.06708635109817931,1.0460420003255422,-13.091146331100482
22,extraction,931.4414634146341,932.2668586042015,932.2668586042014,17.341176470588234,18.340912295944175,0.8239939054634756,0.5979331135749817,0.38,0.4927192177824224,122616.58574017829,62201.03752712631,0.0,26124.435761393048,0.06879152280084976,1.062834000094881,-13.057909562718047
23,extraction,937.9243902439024,938.8280330082265,938.8280330082265,16.976470588235294,18.036204928571898,0.815301053305992,0.5979223847389221,0.38,0.49497434304078064,122665.81684530678,61949.38473874033,0.0,26018.741590270936,0.07476687656952596,1.0697500001697335,-13.02703635293366
24,extraction,944.4073170731707,945.320566386406,945.320566386406,16.61176470588235,17.732046636663316,0.8065480850987105,0.5977411270141602,0.38,0.49730258450938436,122696.1036673769,61679.01420435902,0.0,25905.185965830788,0.07850828498466354,1.0937920001197199,-12.989966919469616
