day,phase,baseline_rate_10k,requested_rate_10k,actual_rate_10k,baseline_pressure_mpa,actual_pressure_mpa,inventory,compressor_4500_load,compressor_4000_load,renewable_share,station_power_kwh,grid_power_kwh,startup_shutdown_cost_yuan,operating_cost_yuan,penalty,inference_time_ms,reward
1,extraction,795.3,791.8317364704609,791.8317364704609,25.0,24.705746273683562,0.9926682246623105,0.5240586400032043,0.4384136199951172,0.4718552736444934,122467.30837597046,64680.463069722355,6000.0,33165.79448928339,16.754545617058866,1.4412079999601701,-31.62521403985052
2,extraction,801.7829268292683,801.0196753437272,801.019675343727,24.63529411764706,24.36818539828693,0.9852513758165353,0.5681315064430237,0.38161879777908325,0.47626137719728945,118545.43838927837,62086.824641544226,0.0,26076.466349448576,1.770623782205805,1.0139999999410065,-14.524263138419066
3,extraction,808.2658536585366,807.5819631764147,807.5819631764145,24.270588235294117,24.069923430350265,0.9777737650463834,0.5857605934143066,0.38,0.47748214760677854,120344.37356593998,62882.08362328253,0.0,26410.47512177866,0.40472843070149456,0.9898329999487032,-13.379259556943962
4,extraction,814.7487804878049,814.2817689252263,814.2817689252263,23.905882352941177,23.769309817079062,0.9702341190378164,0.5918669700622559,0.38,0.4789960286809034,121055.31675206937,63070.3007771193,0.0,26489.526326390107,0.15253042991553464,0.9812909997890529,-13.194531369533589
5,extraction,821.2317073170731,820.803822568713,820.803822568713,23.541176470588233,23.471008011802038,0.9626340836436617,0.5940421223640442,0.38,0.4808723069649972,121340.32257264448,62991.121729260005,0.0,26456.2711262892,0.0783146589017672,0.998583000182407,-13.12301423079316
6,extraction,827.7146341463414,827.2499368502889,827.249936850289,23.176470588235293,23.173483630716227,0.9549743620061589,0.5949573516845703,0.38,0.4828986405181723,121488.67349694381,62821.958226913535,0.0,26385.222455303683,0.058678767619596804,1.097041999855719,-13.084640231429063
7,extraction,834.1975609756097,833.7198489287059,833.719848928706,22.811764705882354,22.87527481378469,0.9472547337753375,0.5955919623374939,0.38,0.48477646881670466,121606.9003722218,62654.73662603131,0.0,26314.98938293315,0.0546354864914908,1.0608749998937128,-13.060582231729503
8,extraction,840.680487804878,840.2120889360875,840.2120889360875,22.44705882352941,22.576409475880915,0.9394749922111145,0.5965235233306885,0.38,0.486097467078622,121757.36936274351,62571.42051735768,0.0,26279.996617290224,0.05911284802586864,1.0359159996369272,-13.060020077106575
9,extraction,847.1634146341463,846.7498313159186,846.7498313159185,22.08235294117647,22.27656435998116,0.9316347159952264,0.5971776247024536,0.38,0.48711470752471087,121878.22217237124,62509.54762524489,0.0,26254.010002602856,0.049482251185725634,1.0078330001306313,-13.047152575401508
10,extraction,853.6463414634146,853.3171268165474,853.3171268165474,21.71764705882353,21.97597675656562,0.9237336314876657,0.5976535677909851,0.38,0.4876373739961082,121980.06085537748,62498.02429997574,0.0,26249.17020598981,0.03924995673111294,1.0143750000679574,-13.040595840037387
11,extraction,860.1292682926829,859.8466935499775,859.8466935499775,21.352941176470587,21.675596393915164,0.9157720880288697,0.5983359813690186,0.38,0.4878634629946177,122103.90859431784,62533.87290231568,0.0,26264.226618972585,0.03909807354108506,0.9884579999379639,-13.052766839003484
12,extraction,866.6121951219511,866.3527571787776,866.3527571787776,20.988235294117647,21.37521526772117,0.9077503032401772,0.5991607308387756,0.38,0.4878719007269865,122242.94810572077,62604.048662912406,0.0,26293.70043842321,0.039739336911547116,1.081917000192334,-13.07195324025728
13,extraction,873.0951219512194,872.8264367227147,872.8264367227147,20.623529411764707,21.074949628882507,0.8996685769742262,0.60015469789505,0.38,0.4877935224248553,122400.01440669585,62694.080234400644,0.0,26331.51369844827,0.04349543922720475,0.9759169997778372,-13.098350006251268
14,extraction,879.5780487804877,879.4362679930067,879.4362679930068,20.258823529411764,20.77248316205723,0.8915256485668835,0.6006240844726562,0.38,0.4879435640879066,122501.47166123317,62727.66697283737,0.0,26345.620128591694,0.023860342673244377,1.0127919999831647,-13.089478063111065
15,extraction,886.060975609756,885.9116220974704,885.9116220974703,19.894117647058824,20.471528763707486,0.8833227631770921,0.6011157631874084,0.38,0.4880761030197434,122604.30368194869,62764.072927413996,0.0,26360.910629513877,0.024846445673073054,2.2099590000834723,-13.101746324105328
16,extraction,892.5439024390244,892.3983718293977,892.3983718293975,19.52941176470588,20.17008437470273,0.8750598152897829,0.6017353534698486,0.38,0.4881881779216925,122721.03767039342,62810.077897424664,0.0,26380.23271691836,0.026830706331296913,1.0850839998965967,-13.117274389821365
17,extraction,899.0268292682927,898.8915268562262,898.8915268562264,19.16470588235294,19.868219610211973,0.8667367455966697,0.6024432182312012,0.38,0.48827023889996113,122847.35449522555,62864.64736761356,0.0,26403.15189439769,0.027603595283975702,1.0505000000193832,-13.133456201014399
18,extraction,905.5097560975609,905.3917990079012,905.3917990079012,18.8,19.565926479230093,0.8583534881984484,0.603098452091217,0.38,0.4885832108234602,122968.04184223212,62887.92113028075,0.0,26412.926874717916,0.025294553056836616,1.093000000309985,-13.1413410105067
19,extraction,911.9926829268292,911.6723670839972,911.6723670839972,18.435294117647057,19.26620280621565,0.849912077392115,0.6034161448478699,0.38,0.4898675002540429,123050.58742277505,62772.10375718866,0.0,26364.283578019236,0.034834334073262765,1.0598329999993439,-13.137187826578415
20,extraction,918.4756097560975,918.0019278121067,918.0019278121067,18.070588235294117,18.965474210146386,0.8414120595420029,0.603513777256012,0.38,0.4912317714976808,123109.74274924627,62634.32572991026,0.0,26306.41680656231,0.042607536518192254,1.0853750000023865,-13.12656293812931
21,extraction,924.9585365853658,924.4017161791788,924.401716179179,17.705882352941174,18.66347580989261,0.8328527843921957,0.6034776568412781,0.38,0.49274529726532984,123154.99211911412,62470.94891767188,0.0,26237.79854542219,0.047796922645026975,1.0637499999575084,-13.10859074348108
22,extraction,931.4414634146341,930.9257100913873,930.9257100913871,17.341176470588234,18.359525373332207,0.8242331018913495,0.6032921671867371,0.38,0.4948965280467092,123185.06350966946,62221.20327152067,0.0,26132.90537403868,0.047344760289499715,1.1052499999095744,-13.070611350253724
23,extraction,937.9243902439024,937.4623131536783,937.4623131536783,16.976470588235294,18.055083511103618,0.8155528952880746,0.6030307412147522,0.38,0.49724404593575855,123207.03061621348,61943.06822487662,0.0,26016.088654448176,0.04465161733097243,1.1017500000889413,-13.025502669619447
24,extraction,944.4073170731707,943.9981288950545,943.9981288950545,16.61176470588235,17.750323636608528,0.8068121718723796,0.6026536226272583,0.38,0.4996180728135187,123216.49687365792,61655.308166808,0.0,25895.229430059357,0.0427666358502061,1.0944169998765574,-12.979012348974535
25,extraction,950.8902439024389,950.4050563759192,950.4050563759196,16.24705882352941,17.44686859576399,0.798012125054084,0.6024541854858398,0.38,0.5019003473234847,123244.16286543777,61387.87471768244,0.0,25782.907381426623,0.04518092573783707,1.167500000065047,-12.941012871694836
26,extraction,957.3731707317072,956.706695907821,956.7066959078209,15.88235294117647,17.14439476996592,0.7891537297216042,0.6025632619857788,0.38,0.5041386717222984,123304.33971903619,61141.853675486236,0.0,25679.578543704218,0.05687626082800869,1.024708000386454,-12.917452569573559
27,extraction,963.8560975609755,963.1380578550696,963.1380578550695,15.517647058823528,16.839943198086456,0.7802357847414647,0.6028473377227783,0.38,0.5063000248114804,123384.41275838698,60914.881517465714,0.0,25584.2502373356,0.06377580716984288,1.0044589998869924,-12.893198181768302
28,extraction,970.3390243902438,969.5452502082615,969.5452502082615,15.152941176470588,16.535451249754374,0.771258513906203,0.6024874448776245,0.38,0.5082542296281858,123394.7515683829,60678.847169833076,0.0,25485.11581132989,0.07062306516219058,1.0219589998996526,-12.863624138780105
29,extraction,976.8219512195121,975.8811382917733,975.8811382917733,14.788235294117646,16.2314958459417,0.7622225774405385,0.6016556024551392,0.38,0.5103271084417074,123353.57220723585,60402.900386761816,0.0,25369.21816243996,0.08971061878540083,2.2897920002833416,-12.837175248972617
30,extraction,983.3048780487804,982.218397877856,982.2183978778559,14.423529411764704,15.927172899365571,0.7531279626453731,0.6000816822052002,0.38,0.5125911000611296,123232.25897386356,60064.499783432824,0.0,25227.089909041784,0.11349635540438867,1.0089170000355807,-12.801163547808395
31,extraction,989.7878048780487,988.7084887124053,988.7084887124054,14.058823529411764,15.620639019873968,0.7439732544165545,0.5979307293891907,0.38,0.5148391766056548,123049.79996734386,59698.94227066601,0.0,25073.555753679724,0.12336937584479592,1.0764579997157853,-12.743539363950468
32,extraction,996.2707317073169,994.7536132810608,994.7536132810606,13.694117647058823,15.31915422196689,0.7347625728121002,0.5960741639137268,0.38,0.5748971628718849,122895.71745268104,52243.31816002993,0.0,21942.193627212568,0.14903694233454956,1.104541999666253,-11.590398405957767
33,extraction,1002.7536585365852,1000.8643077706417,1000.8643077706416,13.329411764705881,15.016501508060953,0.7254953107031128,0.591816246509552,0.38,0.5774432414827757,122482.79250671015,51755.931775773206,0.0,21737.491345824747,0.21843153207157964,1.0963330000777205,-11.55882139482865
34,extraction,1009.2365853658536,1007.3097094173474,1007.3097094173474,12.96470588235294,14.709479905840297,0.7161683689492485,0.5894507169723511,0.38,0.5791425112826687,122276.81600133915,51461.11371067479,0.0,21613.66775848341,0.18701612846466,1.0865829999602283,-11.46886458733172
35,extraction,1015.7195121951219,1013.7011248500971,1013.7011248500971,12.599999999999998,14.402761604422553,0.7067822474228588,0.5880703926086426,0.38,0.5806505096881764,122176.82704058214,51234.790147383945,0.0,21518.611861901256,0.1756705201104789,1.0822919998645375,-11.415998220413485
36,extraction,1022.2024390243902,1020.1666817811204,1020.1666817811204,12.235294117647058,14.094826569952973,0.6973362596285891,0.5872259140014648,0.38,0.5820945731175833,122135.2788282372,51040.995836117465,0.0,21437.218251169335,0.16727506844428136,1.106750000417378,-11.374652542586047
37,extraction,1028.6853658536584,1026.6543285641799,1026.6543285641799,11.870588235294116,13.786297538942543,0.6878302010307726,0.5864328145980835,0.38,0.5835940772386579,122099.44921996591,50842.933821091545,0.0,21354.03220485845,0.16609078572501393,1.0877499998969142,-11.34017972882739
38,extraction,1035.1682926829267,1033.1481393638326,1033.1481393638323,11.505882352941175,13.477363660267603,0.6782640145551816,0.5852816104888916,0.38,0.5852498293112554,122024.99164311452,50609.886112274384,0.0,21256.15216715524,0.1718703795930792,1.069333000032202,-11.304859489234607
39,extraction,1041.651219512195,1039.6295810132126,1039.6295810132128,11.141176470588235,13.16824036050782,0.6686378147309852,0.5839882493019104,0.38,0.5868689983118074,121935.0861067878,50375.16426423326,0.0,21157.56899097797,0.17461475806738294,1.1139580001326976,-11.265305371873707
40,extraction,1048.1341463414633,1046.0900580516675,1046.0900580516675,10.776470588235293,12.859024420365358,0.6589517956749512,0.5827019214630127,0.38,0.5888262663012611,121845.77916384218,50099.78395422899,0.0,21041.909260776174,0.17609351372804818,1.0153749999517458,-11.2181029753623
41,extraction,1054.6170731707316,1052.6387534302326,1052.6387534302323,10.411764705882351,12.548463226345254,0.6492051405505972,0.5808995962142944,0.38,0.5909989169365559,121701.42201748799,49776.013415513866,0.0,20905.925634515825,0.181092797501114,1.0328329999538255,-11.163486888620607
42,extraction,1061.1,1059.313024224937,1059.313024224937,10.04705882352941,12.235890631705713,0.6393966866225885,0.5771206021308899,0.38,0.5934319514767736,121344.54905618362,49334.81650870349,0.0,20720.622933655464,0.20407505815667787,2.292667000347137,-11.095578803371579
43,extraction,1051.8089743589742,1050.1462981199948,1050.1462981199948,9.682352941176468,11.92537049536942,0.6296731097881442,0.5696060657501221,0.38,0.5949185845774494,120462.57867057475,48797.15187332677,0.0,20494.803786797245,0.26485352033706466,1.052165999681165,-11.018686838175492
44,extraction,1042.5179487179487,1040.7006838085713,1040.7006838085713,9.317647058823528,11.618266610907467,0.6200369923454722,0.5583428740501404,0.38,0.596093726278788,119173.61164906499,48134.96940707267,0.0,20216.68715097052,0.34453668194437054,1.0335000001759909,-10.91651184278887
45,extraction,1033.226923076923,1031.1178481373647,1031.1178481373645,8.952941176470587,11.31328610491564,0.6104896048627187,0.5459961295127869,0.38,0.5967689252654651,117766.56706107594,47487.13940383433,0.0,19944.59854961042,0.38588410629429787,1.08054100019217,-10.771096158242472
46,extraction,1023.9358974358973,1021.2206865597992,1021.2206865597991,8.588235294117645,11.012565125234204,0.6010338577649428,0.5332090258598328,0.38,0.5959280575012826,116309.5496656412,46997.42566454668,0.0,19738.918779109605,0.4378018181701653,1.0567080003056617,-10.658510454252621
47,extraction,1014.6448717948717,1011.3032998340786,1011.3032998340785,8.223529411764705,10.71272942206512,0.5916699383220346,0.5204896330833435,0.38,0.5941178711500471,114859.68971572682,46619.495380864246,0.0,19580.188059962984,0.4830422058926143,1.0492080000403803,-10.557807455572611
48,extraction,1005.353846153846,1002.490673973927,1002.490673973927,7.858823529411763,10.400304323602443,0.5823876172667205,0.5088653564453125,0.38,0.5937503865034016,113536.58687221352,46124.194534559705,0.0,19372.161704515074,0.4334764981965548,1.0862500002986053,-10.351025485479841
49,extraction,996.0628205128204,993.6977168053922,993.6977168053921,7.494117647058822,10.087996366204681,0.5731867124814853,0.4973457157611847,0.38,0.5940486743197937,112224.93576727336,45557.861449100616,0.0,19134.30180862226,0.3995449331260297,1.1107079999419511,-10.149068338403648
50,extraction,986.7717948717948,984.9063808337235,984.9063808337236,7.12941176470588,9.776015426822925,0.5640672089552472,0.4848974943161011,0.38,0.5951389255930907,110813.01039094191,44863.874445140755,0.0,18842.827266959117,0.3832408037155063,1.1152500001117005,-9.938073301656438
51,extraction,977.4807692307692,976.2038002966115,976.2038002966115,6.764705882352939,9.463283604503285,0.5550282848784267,0.4731625020503998,0.38,0.5967487349028033,109478.79540772116,44147.46274948072,0.0,18541.9343547819,0.3301115485960373,1.1055830000259448,-9.690849629867916
52,extraction,968.1897435897436,967.5250876085422,967.5250876085423,6.4,9.15056935038792,0.5460697192524216,0.46360763907432556,0.38,0.5988442988907536,108380.21769286077,43477.34221495231,0.0,18260.483730279968,0.24778433385614587,1.1153329996886896,-9.435293270854498
53,extraction,958.8987179487178,958.4725859184485,958.4725859184485,6.4,9.098150002863957,0.5371949730865101,0.45737510919570923,0.38,0.6007275197708247,107637.58125299029,42976.72403275082,0.0,18050.224093755343,0.1712328884513692,1.1013749999619904,-9.233611091079869
54,extraction,949.6076923076922,949.2580592603179,949.2580592603176,6.4,9.048196864694042,0.5284055466118776,0.4521929919719696,0.38,0.6027791611681721,107007.14502809195,42505.46790905775,0.0,17852.296521804252,0.1471525928985026,1.014292000036221,-9.095507341301401
55,extraction,940.3166666666666,940.0099425361553,940.0099425361552,6.4,8.99913163363559,0.5197017508476539,0.44719988107681274,0.38,0.6050986368906166,106396.86351497345,42016.266432626035,0.0,17646.831901702935,0.14095286922291309,1.0189580002588627,-8.973294347165654
56,extraction,931.0256410256409,930.3996166120735,930.3996166120735,6.4,8.955220889964197,0.5110869395827273,0.4403064548969269,0.38,0.6071043880945481,105578.56618444883,41481.35536513927,0.0,17422.169253358494,0.1996831123916098,2.3595420002493483,-8.896301780947768
