timestep,reward,green_ratio,total_power_10k_kwh,grid_cost_10k_yuan,startup_cost_10k_yuan,total_cost_10k_yuan,penalty
5000,-5595.204944709987,0.675261172395549,5615.286522621946,765.8706560481166,0.5999999999999999,766.4706560481168,787.75881745778
10000,-4690.368139701602,0.6865460566876034,4687.225687514894,617.0763374776153,0.69,617.7663374776153,1030.6387828260044
15000,-3963.5254061008145,0.702130177183563,4211.390631278079,526.8673960828335,1.42,528.2873960828335,960.3448748301158
20000,-3644.9574680678415,0.7002308731971061,4137.417661844969,520.9134334782573,1.37,522.2834334782574,734.600117148762
25000,-3423.7124343838354,0.7224664398244519,3988.8614723060973,464.9580286915996,1.05,466.00802869159963,803.3881804062685
30000,-3217.7780699694513,0.7171186091081299,3973.149171602074,472.0505848311446,1.05,473.10058483114454,588.9160208906226
35000,-3023.4919122706096,0.7113643406195462,3834.866392091652,464.88925968127234,1.1,465.98925968127224,508.1846700511408
40000,-2959.306684121425,0.7175359944699637,3841.5327743799,455.7397886270283,1.05,456.78978862702826,475.1474828846779
45000,-2971.6301691968133,0.7147588402505584,3804.249966077412,455.7540423662923,1.1,456.85404236629233,513.0165473656673
50000,-2848.6395049555567,0.7136389106148712,3690.6403646279314,443.87943404430484,1.05,444.92943404430486,517.8654147223126
55000,-2812.7296349904573,0.7154093360744623,3711.250544971149,443.5986477666887,1.05,444.64864776668867,466.38672559477277
60000,-2762.398232800484,0.7157413950594327,3653.9027437171635,436.23438453737145,1.05,437.2843845373714,476.9058051198673
65000,-2764.083783612392,0.7198336618666037,3672.9023792929297,432.18991616973335,1.05,433.23991616973336,476.81144542372914
70000,-2747.230476855515,0.71518160636318,3636.604873200228,435.0242224762228,1.05,436.0742224762228,478.20335646457335
75000,-2664.631067371465,0.7206639267505788,3630.189205456072,425.8979750779041,1.05,426.94797507790406,433.0021954313591
80000,-2719.6776406283193,0.7178350277038781,3651.8679671421023,432.78027398665347,1.05,433.83027398665354,445.53010569039463
85000,-2663.4713198142276,0.7218762498447143,3630.822794291097,424.12358171296364,1.05,425.1735817129636,435.8906004778608
90000,-2630.348964561874,0.7198672940726552,3604.5771082470515,424.0991744039437,1.05,425.1491744039438,421.6435564789804
95000,-2577.411192125348,0.7237377968874747,3602.5501321736374,418.0043432617954,1.05,419.0543432617954,394.44204499397057
100000,-2635.6373213284796,0.7235773655541325,3617.844011368145,420.02266850736646,1.05,421.0726685073664,432.1808956025045
105000,-2548.4673208041427,0.7207971838049041,3570.397487226187,418.6833140151667,1.05,419.7333140151666,383.3590893191056
110000,-2569.3994431964734,0.7212261809390212,3561.9785136176442,417.0542685348224,1.05,418.1042685348225,414.80948800696956
115000,-2535.9426535949538,0.721169900417719,3552.951205960554,416.08129019896626,1.05,417.1312901989662,391.54091473382715
120000,-2454.70012309837,0.7173180889501835,3465.408906898174,411.4355331958327,1.46,412.8955331958326,392.293778914873
125000,-2397.678668682248,0.7166846107979633,3424.9787263642856,407.5466559648099,1.46,409.0066559648099,382.1441383802169
130000,-2456.09387645582,0.713631461274175,3420.7740498236026,411.43286770286716,1.46,412.8928677028672,425.4474287570356
135000,-2408.9257066985124,0.7168376268248761,3422.415241040987,407.0216730904291,1.46,408.4816730904291,395.01153404601166
140000,-2416.000019110519,0.7166611234673534,3422.8505214590423,407.3271809415429,1.46,408.78718094154294,401.40576459644063
145000,-2396.051833575319,0.71517042367613,3402.2782934391153,407.00918363958806,1.46,408.46918363958804,396.66637811046604
150000,-2388.1295133116755,0.7146988705515677,3385.301893252032,405.6487905408629,1.46,407.10879054086286,402.06274051899027
155000,-2354.83610476764,0.7153917351030193,3382.7711007859643,404.36113768610477,1.46,405.8211376861048,373.60475949152016
160000,-2376.954918398077,0.714027240066353,3386.0602664241655,406.6948198702105,1.46,408.1548198702104,386.490685842691
165000,-2392.870160588628,0.7152641753328967,3413.5616720410876,408.22458505106715,1.46,409.6845850510672,374.3263015779313
170000,-2349.785660412739,0.7164678850205142,3384.9204855098887,403.08813900348224,1.46,404.5481390034823,372.69827047053127
175000,-2320.9876541746744,0.7159617016155965,3369.9222206675277,402.0185287634023,1.46,403.4785287634023,357.445305653931
180000,-2377.079368157835,0.7131193767277316,3389.847674526188,408.44227773977184,1.46,409.9022777397718,374.9730153750485
185000,-2364.0883033941864,0.7147380461678955,3381.4576749964126,405.1325137314173,1.46,406.5925137314173,380.62059656055965
190000,-2344.21990156945,0.7139916485242239,3367.1433076828444,404.4730647774857,1.46,405.93306477748575,371.7830756670137
195000,-2314.1801319149263,0.7154439362004484,3360.110746876848,401.57875298597565,1.46,403.0387529859757,359.280274108591
200000,-2349.3139389367434,0.7144916013893787,3368.339540206428,403.90947580249326,1.46,405.3694758024933,379.54937326049964
