timestep,reward,green_ratio,total_power_10k_kwh,grid_cost_10k_yuan,startup_cost_10k_yuan,total_cost_10k_yuan,penalty
5000,-4796.921333351702,0.7436235129964968,4911.965670315401,528.911251191654,1.01,529.921251191654,1342.0929476683245
10000,-4282.281698507715,0.7106481381282734,4469.473232815749,543.165168630455,1.1,544.2651686304549,1089.4214000339773
15000,-3926.3799176451053,0.7089725377859695,4264.630406205353,521.2723170474676,1.51,522.7823170474676,934.5479661110428
20000,-3984.1399243937412,0.7145762487901607,4336.224981694945,519.8178721533789,1.42,521.2378721533789,928.6306972276722
25000,-3735.0303022727157,0.7225225805069606,4274.538471862882,498.1569199724179,1.37,499.52691997241783,809.3296130564988
30000,-3381.019034175336,0.7390912856895531,4167.615120021803,456.69418313638005,1.7799999999999998,458.47418313638,667.8507041423219
35000,-3472.430738092539,0.7333594929662463,4298.717081112054,481.4090828829979,1.42,482.82908288299797,609.1057451966733
40000,-3245.7295545992824,0.7506517505900274,4140.876975965972,433.65857849125416,1.1,434.75857849125424,647.0774865504843
45000,-3239.9838703025744,0.7541481969626833,4184.036708638051,432.0342468930533,1.1,433.1342468930533,600.3284788995941
50000,-3323.6348603517336,0.7457019335845972,4145.163822641471,442.72500093057835,1.1,443.8250009305783,680.5626215775403
55000,-3265.444613070301,0.75449781992605,4165.962726371066,429.5562312009836,1.1,430.65623120098354,659.6875175530728
60000,-3165.1751736730826,0.7503634581917963,4116.219525998838,431.5746992733766,1.1,432.67469927337663,602.3928588236245
65000,-3438.4692399214696,0.7450097981679261,4201.9597623351265,450.0125985129965,1.42,451.43259851299655,729.2271576831961
70000,-3336.616364994318,0.7505639137452846,4183.097522922756,438.234499306652,1.1,439.334499306652,687.3550940753694
75000,-3280.9510702818557,0.7543677498080699,4214.2824540103375,434.76874649162943,1.1,435.8687464916294,621.8180546279684
80000,-3159.0551995150477,0.7549414411045904,4151.58621726524,427.3003289238867,1.1,428.4003289238867,572.0947073922517
85000,-3143.343291402547,0.7545563718997845,4142.55049308137,427.040301496296,1.1,428.140301496296,565.4647218184098
90000,-3181.6122062496634,0.7499116697737247,4088.13684692369,429.40603346913514,1.1,430.5060334691352,641.3783976604357
95000,-3310.1570315997487,0.7408771310358612,4120.2204105655255,448.4102000911432,1.1,449.5102000911432,674.6484328631834
100000,-3008.941115997304,0.7467542862381686,3984.0975489042003,423.76136353698246,0.69,424.45136353698246,571.0350195455978
105000,-3025.6016276725027,0.7485694979975321,3933.5969433366126,415.39102673816916,0.69,416.0810267381692,651.4729798612452
110000,-2993.301777142089,0.7523777589254448,3981.106028303583,414.0403666072615,0.69,414.7303666072615,584.4605997565066
115000,-2943.3631739125876,0.7487354161355882,3903.292230490357,411.91882115804765,0.69,412.6088211580476,603.6745879876773
120000,-2842.858568463168,0.7450886265226562,3819.5497036310308,408.9315976273786,0.69,409.6215976273786,573.7233937387751
125000,-2769.0903992024087,0.7490642295844757,3800.207144001619,400.5153211158224,0.69,401.20532111582236,542.5174644451309
130000,-2763.5914012716485,0.7480914850666045,3771.5873248232842,399.0398840138976,0.69,399.7298840138977,557.4805459699658
135000,-2678.820692425579,0.7484483742637116,3735.170517909696,394.62705079662425,1.01,395.63705079662424,517.2616493191106
140000,-2656.1754178247797,0.7486029966542374,3714.9522030288776,392.2496975939633,1.1,393.34969759396336,512.8457394861584
145000,-2641.8457162164523,0.7503252033900589,3724.3798268181295,390.5511858187725,1.1,391.65118581877255,496.8969970157873
150000,-2663.007127604433,0.750117844678461,3744.158299043615,392.9513051646191,1.1,394.05130516461907,498.9995694378177
155000,-2633.364247867974,0.7496988710918857,3737.1033549259955,392.8684992053969,0.69,393.5584992053969,480.817014783354
160000,-2603.4180946231218,0.7506624595578864,3734.8159680798763,391.1165275436866,0.69,391.80652754368657,456.5509182995984
165000,-2613.947115404212,0.7519214271491302,3728.859000401959,388.52100805637184,1.1,389.6210080563718,478.6523090705341
170000,-2753.003174487471,0.7503734324474889,3759.028711094567,394.10844248238857,1.42,395.5284424823886,574.3733616616925
175000,-2722.0567208221682,0.749547169141577,3777.6582496629753,397.37258511038164,1.1,398.4725851103817,521.518126618847
180000,-2661.9869382386987,0.7505166105667682,3743.562053477605,392.2617508551924,0.69,392.9517508551924,503.6081780919124
185000,-2612.3412300070727,0.7512942989963679,3720.152733313452,388.5937412193066,0.69,389.28374121930653,481.378223983697
190000,-2579.8406388295302,0.7516371919319194,3700.0833113354242,385.9644941414254,0.69,386.6544941414254,473.221470936013
195000,-2580.8289755609467,0.7509902603817704,3701.921494282997,387.16209309898505,0.69,387.85209309898505,466.5329211997131
200000,-2583.5049112234583,0.7503479534928079,3695.738300906768,387.51242467408224,0.69,388.2024246740822,474.40444566185585
