timestep,reward,green_ratio,total_power_10k_kwh,grid_cost_10k_yuan,startup_cost_10k_yuan,total_cost_10k_yuan,penalty
5000,-5401.220006280955,0.6666401854417718,5376.094377501704,752.7130063872303,0.5999999999999999,753.3130063872302,806.1163736815876
10000,-4866.470063922058,0.6650258525976214,4736.126453405794,666.3215667021724,0.5999999999999999,666.9215667021723,1002.405640902183
15000,-3963.7044619453854,0.6957036181754088,4410.731501651798,563.7112476040027,0.96,564.6712476040026,687.9278110413945
20000,-3542.524309300489,0.7068928070848646,4172.469541087721,513.6519505790934,1.3199999999999998,514.9719505790933,616.812823809991
25000,-3416.283988623817,0.7034158129586146,4097.648825338268,510.4250951704962,1.3199999999999998,511.7450951704962,556.0186431424264
30000,-3349.6004677859455,0.7052877388019374,4073.0913573446546,504.163784875519,0.96,505.12378487551894,550.4697347317554
35000,-3261.161967049249,0.6975108858288892,3914.2082522589762,497.28226250096856,1.3199999999999998,498.6022625009685,583.1785343248246
40000,-3123.9333189421086,0.700356031773418,3859.84664534919,485.76350153456656,1.3199999999999998,487.08350153456655,528.6894753283384
45000,-3036.682484528337,0.7076368559201862,3839.3957700942906,471.4490838588322,1.3199999999999998,472.7690838588322,508.1264256049318
50000,-2966.7411001923474,0.7080868140938221,3781.9792566493943,463.68403781263305,1.3199999999999998,465.00403781263304,508.8144916178681
55000,-2906.322403241162,0.7111232107316696,3760.1470036797823,456.21206131197766,1.3199999999999998,457.5320613119777,488.661194288238
60000,-2874.6236656487854,0.70896456448636,3683.744267969271,450.28204928671045,1.3199999999999998,451.60204928671044,532.4089737706561
65000,-2848.302681126739,0.7118033948933318,3715.5466383204093,449.7393294573627,1.3199999999999998,451.05932945736276,485.1623852281108
70000,-2771.590341271354,0.7086792551762449,3679.0648782926773,450.150926651639,1.3199999999999998,451.47092665163905,431.4623505995226
75000,-2683.2230679478585,0.7094943422473473,3625.161198631581,442.3145321565024,1.3199999999999998,443.6345321565025,410.8086928529604
80000,-2741.391840674571,0.7132456296086247,3656.10290292565,440.3294641261001,1.3199999999999998,441.64946412610004,451.9127047885406
85000,-2742.076889984141,0.7155480960501028,3663.6099524814426,437.69074705151803,1.3199999999999998,439.01074705151797,460.8599950989882
90000,-2736.9964804330493,0.7140856898709869,3659.956817939767,439.5022920553549,1.3199999999999998,440.8222920553549,450.52952878710704
95000,-2779.298607596469,0.7131460043377422,3669.9173423223665,442.14679042606133,1.3199999999999998,443.46679042606127,473.90551144381135
100000,-2697.5976607018333,0.7123792610002442,3633.2065865104487,438.89393660738415,1.3199999999999998,440.21393660738414,433.94619723770415
105000,-2684.1656163391463,0.7114675016081751,3628.4853619165337,439.7130976778156,1.3199999999999998,441.0330976778156,418.5180936004117
110000,-2643.7687424261294,0.7122980398442535,3629.5536983512657,438.5764796726029,1.3199999999999998,439.89647967260294,378.7345778526474
115000,-2664.4672956325126,0.7100582986713998,3618.882135427399,440.69123416646863,1.3199999999999998,442.0112341664686,399.5281992633866
120000,-2625.290498556759,0.7104158431049076,3616.894371195841,439.9060289657682,1.3199999999999998,441.2260289657682,364.23076221618896
125000,-2624.91962892651,0.7103242950973947,3612.929514894623,439.5627196760221,1.3199999999999998,440.88271967602213,368.70894630030864
130000,-2644.260773570145,0.7119848483228145,3618.520124961384,437.7192215078345,1.3199999999999998,439.03922150783455,392.23120891346855
135000,-2609.297725540354,0.7094017698946279,3596.5275876268715,438.960711625595,1.3199999999999998,440.280711625595,366.82757965925754
140000,-2608.217626853943,0.7092259627302069,3606.859504330805,440.4880619744611,1.3199999999999998,441.8080619744611,353.33258072534795
145000,-2590.102893676937,0.7084028181457154,3590.617842073793,439.74589842305977,1.3199999999999998,441.06589842305976,349.03281843750466
150000,-2605.9969486063465,0.7089634475249401,3596.3723474947465,439.6038399612333,1.3199999999999998,440.9238399612333,362.658105138975
155000,-2628.838247674727,0.7086865309428318,3602.8811666981205,440.81848073405774,1.3199999999999998,442.1384807340577,375.22114614243515
160000,-2597.2013293846526,0.7095005142246344,3590.265722899867,438.047545445719,1.3199999999999998,439.367545445719,363.7755404190458
165000,-2594.9937204581793,0.7100456305256571,3591.111792841575,437.3285933542071,1.3199999999999998,438.64859335420704,365.04371150185426
170000,-2629.551642711439,0.7085858388190754,3604.543979168131,441.1743672541935,1.3199999999999998,442.49436725419343,373.9023583885488
175000,-2591.3027668740933,0.7089490903557918,3591.5851858395927,439.0403368693759,1.3199999999999998,440.36033686937594,352.479534875464
180000,-2601.2758642624603,0.7093889016769863,3584.97972562636,437.5706561226055,1.3199999999999998,438.8906561226055,374.4728342768761
185000,-2591.9539660595374,0.7085926677138983,3588.810889262406,439.23843907409383,1.3199999999999998,440.5584390740938,355.26015237900685
190000,-2494.08121388772,0.7049370237240509,3465.3397862873812,429.4472578827547,1.7299999999999998,431.1772578827547,387.9768402870711
195000,-2520.8467603854597,0.7036748371636443,3470.4662630043226,431.92232181118976,1.7299999999999998,433.6523218111898,400.0302672443672
200000,-2483.01376658239,0.7044275221471221,3467.2242592965677,430.4227475485965,1.7299999999999998,432.1527475485965,370.24099433773176
