#{"t_start": 1777365480.2934458, "env_id": "None"}
r,l,t
-37672.323154,365,0.089041
-37826.508436,365,0.177306
-39391.179693,365,0.250557
-38878.855309,365,0.326682
-40354.140893,365,0.400929
-38103.90225,365,0.474998
-38199.531599,365,0.548148
-38128.6402,365,0.621372
-37615.402296,365,0.694402
-36880.779154,365,0.766687
-36709.11394,365,0.839543
-39120.353426,365,0.913502
-37080.599803,365,0.985463
-36650.154455,365,1.405683
-39695.29771,365,1.479084
-39464.937799,365,1.55238
-39892.234103,365,1.625065
-38893.544766,365,1.697111
-37884.547463,365,1.770965
-37008.2201,365,1.844535
-39100.793291,365,1.917968
-37440.752953,365,1.991579
-35412.610509,365,2.064556
-37737.080471,365,2.137378
-36246.719416,365,2.210407
-40023.686176,365,2.283002
-39366.121157,365,2.356133
-37609.297259,365,2.774988
-36558.836262,365,2.849102
-40490.848246,365,2.925477
-38177.918409,365,3.001128
-38476.706306,365,3.075673
-37141.559376,365,3.148615
-36866.565336,365,3.22028
-36867.260299,365,3.292335
-38685.4713,365,3.363707
-39113.226427,365,3.436854
-37881.009511,365,3.510075
-38228.204318,365,3.583701
-37921.272117,365,3.655482
-37542.184863,365,3.73402
-37184.666811,365,4.158386
-36250.284917,365,4.231767
-36806.731303,365,4.305839
-39943.457453,365,4.379846
-36190.030425,365,4.451966
-34246.624394,365,4.525482
-36334.010185,365,4.597927
-36691.966122,365,4.669871
-38703.478308,365,4.742771
-35817.222779,365,4.816782
-38387.088091,365,4.889393
-37673.72686,365,4.963048
-35315.988731,365,5.035562
-36849.937575,365,5.457992
-39815.763794,365,5.529806
-38114.764301,365,5.602297
-37277.034841,365,5.674914
-37645.131598,365,5.747249
-37773.743759,365,5.820146
-36403.244851,365,5.89549
-35243.296107,365,5.968167
-37723.48274,365,6.040509
-37624.91918,365,6.112671
-37733.631525,365,6.186088
-36462.799878,365,6.258036
-38123.91932,365,6.331317
-38248.44181,365,6.403693
-36855.055539,365,6.820757
-39567.500999,365,6.893554
-35984.307292,365,6.968245
-35605.66607,365,7.041646
-38652.217264,365,7.114711
-39256.777193,365,7.187367
-36748.732335,365,7.259863
-35439.659577,365,7.3328
-36974.228434,365,7.406112
-37685.984053,365,7.478073
-36815.045313,365,7.550266
-38624.168677,365,7.623438
-38238.080802,365,7.696111
-36277.82435,365,7.768771
-34965.05448,365,8.182421
-37784.743895,365,8.255444
-37643.824617,365,8.328676
-34778.071168,365,8.400785
-36918.122223,365,8.472769
-36871.331503,365,8.546495
-35888.19342,365,8.62115
-36918.078995,365,8.695664
-36689.156463,365,8.769538
-39076.043668,365,8.844226
-36196.71957,365,8.918778
-37523.98577,365,8.99125
-36200.167109,365,9.064709
-34868.436315,365,9.482883
-37779.686196,365,9.555532
-36661.312715,365,9.643696
-37674.849233,365,9.723532
-35839.11698,365,9.838301
-36215.054549,365,9.914716
-34037.086258,365,9.995742
-37166.841436,365,10.082128
-36939.867973,365,10.157072
-35799.298923,365,10.231517
-37072.097715,365,10.305354
-36592.796002,365,10.378412
-37448.105228,365,10.451545
-36467.091755,365,10.524255
-36836.580459,365,10.94291
-36230.194162,365,11.015857
-38936.740649,365,11.088502
-36822.930252,365,11.161265
-36151.696746,365,11.233281
-35927.573701,365,11.305453
-35632.933985,365,11.378183
-36522.503042,365,11.451203
-38105.352639,365,11.52368
-35262.755304,365,11.596647
-37226.578068,365,11.669518
-35113.665698,365,11.741137
-35724.044653,365,11.815165
-37282.178451,365,11.889851
-37088.158529,365,12.311752
-35494.328565,365,12.385142
-37633.778496,365,12.457818
-37581.27949,365,12.530735
-36027.929192,365,12.602828
-35149.077059,365,12.67669
-36032.857547,365,12.75302
-34772.735609,365,12.827875
-35489.384797,365,12.905323
-36055.11694,365,12.978861
-34928.117057,365,13.05177
-36309.694241,365,13.12412
-35170.700413,365,13.196849
-35827.956498,365,13.616461
-34429.608298,365,13.690624
-35851.458891,365,13.765382
-37599.559231,365,13.839226
-37580.34003,365,13.913056
-34841.362036,365,13.984934
-37246.177414,365,14.056678
-34629.644494,365,14.130876
-35732.433294,365,14.205212
-34672.622453,365,14.279406
-35794.861697,365,14.352279
-36494.021862,365,14.426458
-34750.974806,365,14.499409
-37250.127433,365,14.572084
-35630.056452,365,15.002932
-36498.724628,365,15.07566
-38786.779873,365,15.152734
-35242.199141,365,15.227649
-33874.930279,365,15.301756
-38471.651124,365,15.376964
-33393.545958,365,15.455835
-34908.391187,365,15.530765
-34824.598601,365,15.607317
-35464.329282,365,15.682054
-34340.800179,365,15.758235
-34522.687494,365,15.835564
-33433.128663,365,15.909983
-34496.567244,365,15.985827
-37181.291561,365,16.41609
-38161.213473,365,16.488497
-34420.187091,365,16.560892
-33052.643908,365,16.635755
-36631.020034,365,16.710005
-35902.097849,365,16.785142
-33474.528837,365,16.864042
-37214.456599,365,16.948351
-35181.360355,365,17.023748
-34945.725793,365,17.099042
-37100.001937,365,17.175307
-35639.227199,365,17.25152
-30942.914385,365,17.326928
-34883.07344,365,17.403579
-34287.643339,365,17.838875
-35738.658465,365,17.917891
-35817.907538,365,17.993978
-36490.256231,365,18.069998
-34524.600297,365,18.145544
-35863.574685,365,18.221064
-33987.814763,365,18.295849
-36234.9824,365,18.373238
-34048.926937,365,18.451224
-35730.348206,365,18.527769
-35246.659049,365,18.606402
-33629.368739,365,18.682179
-35556.780102,365,18.758606
-37028.217175,365,19.19247
-34889.018,365,19.266238
-34628.659963,365,19.340331
-33906.280745,365,19.416586
-35425.034875,365,19.4934
-32254.323145,365,19.569287
-34932.973004,365,19.645609
-34788.794902,365,19.721653
-33800.982538,365,19.799721
-37674.914696,365,19.876798
-36549.403272,365,19.953607
-33521.308827,365,20.029651
-35765.114613,365,20.105958
-33152.984459,365,20.181956
-35868.562019,365,20.614987
-35172.947396,365,20.689045
-34261.176123,365,20.764369
-33852.317993,365,20.842522
-34348.166385,365,20.920005
-33851.009147,365,20.996901
-32506.210695,365,21.07119
-33257.927869,365,21.145526
-36944.594527,365,21.221279
-34905.942356,365,21.295755
-34380.769687,365,21.370837
-34207.472351,365,21.444879
-34268.774607,365,21.518325
-37476.554663,365,21.591734
-34639.103292,365,22.017785
-34860.394716,365,22.093766
-34153.590604,365,22.169292
-34795.070558,365,22.245801
-34093.61884,365,22.32145
-33569.781347,365,22.396139
-36947.438514,365,22.470651
-33412.01405,365,22.543656
-36563.079751,365,22.617052
-32635.662028,365,22.68887
-36197.74443,365,22.761819
-32794.080494,365,22.834011
-34344.499292,365,22.907207
-34101.415819,365,23.321306
