#{"t_start": 1777360775.067273, "env_id": "None"}
r,l,t
-19095.647373,365,0.641084
-18251.450341,365,0.697108
-19131.683647,365,0.753675
-18793.875754,365,0.810381
-19049.275569,365,0.866248
-18509.244358,365,3.834916
-12749.854096,365,9.192183
-9357.460657,365,14.437379
-9590.517333,365,19.135743
-9706.452566,365,23.986457
-9124.160354,365,30.278548
-7898.383765,365,35.118933
-7452.38082,365,40.15109
-7008.035228,365,47.793287
-6956.094356,365,52.874505
-6878.255723,365,58.073371
-6660.348419,365,63.215823
-6438.865145,365,68.220012
-6483.372823,365,73.389982
-6405.142569,365,78.643465
-6293.152351,365,83.779392
-6064.077523,365,89.028876
-5913.423425,365,94.246624
-5654.551557,365,99.158148
-5519.981534,365,104.973002
-5537.672881,365,110.072809
-5288.460052,365,115.104911
-5286.599186,365,122.706781
-5290.220551,365,127.893325
-5041.683612,365,133.128996
-5263.398167,365,138.259151
-5153.784513,365,143.481688
-5066.992092,365,148.776688
-5050.034989,365,153.93878
-4890.831249,365,159.124644
-4824.548515,365,164.371786
-4843.975189,365,169.571635
-4726.334083,365,175.111497
-4697.593839,365,180.330226
-4629.306045,365,185.664366
-4435.355376,365,190.900025
-4517.239508,365,198.635826
-4426.879999,365,203.850453
-4341.101528,365,209.117022
-4238.248321,365,214.325643
-4233.616092,365,219.345905
-4208.150122,365,224.50214
-4216.753009,365,229.153019
-4036.257557,365,233.851702
-4149.529824,365,238.853354
-4048.394089,365,243.823567
-4108.935037,365,248.867316
-4104.028247,365,253.600949
-4054.755652,365,258.587556
-4015.101461,365,266.071532
-3937.340919,365,270.81761
-3917.959239,365,275.607514
-3905.515522,365,280.386604
-3940.087671,365,285.457965
-4033.014032,365,290.451689
-3957.617442,365,295.184357
-3892.659133,365,300.189429
-3987.618396,365,305.176937
-3935.466545,365,310.199024
-3911.665863,365,314.89245
-3967.018363,365,319.848995
-3934.731839,365,324.844738
-3985.637528,365,329.821195
-3891.130804,365,337.469963
-3950.729853,365,342.234775
-3896.495874,365,347.079055
-4065.169598,365,351.537052
-3895.723837,365,356.433057
-3876.524158,365,361.737442
-3887.525854,365,366.839551
-3725.190799,365,371.804685
-3709.757455,365,376.54986
-3719.919419,365,381.763594
-3741.249831,365,386.798521
-3789.135479,365,391.823082
-3724.150851,365,396.840397
-3713.384009,365,401.844226
-3742.385844,365,409.291
-3684.071327,365,414.278189
-3742.675122,365,419.252607
-3675.573878,365,424.248327
-3664.653985,365,429.247298
-3706.849484,365,434.259506
-3668.801983,365,439.249335
-3595.932277,365,444.213084
-3607.62068,365,449.137881
-3633.789284,365,454.164046
-3654.155173,365,459.067827
-3715.915175,365,464.139695
-3593.283507,365,469.165878
-3528.348422,365,476.764549
-3645.295015,365,481.750416
-3615.79523,365,486.780966
-3557.389732,365,491.797664
-3647.611365,365,496.791092
-3564.710298,365,501.748626
-3632.684376,365,506.784828
-3616.696235,365,511.782029
-3566.033829,365,516.760746
-3542.638965,365,522.153435
-3521.58334,365,527.77346
-3583.010269,365,532.742701
-3609.633832,365,538.172771
-3628.067511,365,543.289551
-3564.762417,365,550.825358
-3515.316126,365,555.806176
-3618.543549,365,560.792836
-3501.148678,365,565.720528
-3557.416665,365,570.751992
-3547.48614,365,575.805309
