#{"t_start": 1777363659.051414, "env_id": "None"}
r,l,t
-18675.877797,365,0.072817
-17734.990322,365,0.129703
-20777.962317,365,0.185445
-20031.261652,365,0.241067
-18990.418361,365,0.298054
-12876.51801,365,2.658039
-9590.378162,365,5.381944
-8408.232561,365,8.197432
-7811.219727,365,10.996639
-8212.308987,365,14.185208
-8610.336222,365,16.99211
-5720.633837,365,19.768384
-5319.344559,365,22.503047
-4832.468312,365,26.754031
-4617.136918,365,29.741363
-4450.928842,365,32.562037
-4415.896642,365,35.403228
-4544.21577,365,38.266771
-4401.189131,365,41.13946
-4354.689426,365,44.054876
-4342.224991,365,47.00535
-4225.602369,365,50.145079
-4284.931082,365,53.161743
-4113.738388,365,56.04934
-4214.251081,365,59.221555
-4330.136819,365,62.284628
-4210.568352,365,65.336725
-4308.597425,365,69.492711
-4337.349864,365,72.637988
-4282.936276,365,75.653296
-4191.939852,365,78.658237
-4276.371323,365,81.589868
-4142.803467,365,84.586591
-4217.302559,365,87.445752
-4182.376414,365,90.375812
-4023.501788,365,93.173902
-4024.164246,365,96.003522
-3969.630593,365,99.153987
-3943.230649,365,101.758817
-3993.709451,365,104.658208
-4012.361748,365,107.646382
-4008.846006,365,111.801671
-4106.881892,365,114.776958
-4077.088911,365,117.739597
-4103.446749,365,120.580018
-4101.061072,365,123.577164
-4197.400568,365,126.440479
-4196.53996,365,129.309913
-4133.604192,365,132.160864
-4176.560269,365,135.430289
-4150.095475,365,138.712267
-4128.583687,365,141.712828
-3979.543708,365,144.944824
-4035.870678,365,147.88812
-4001.981704,365,152.383202
-3885.730869,365,155.331488
-3831.174789,365,158.324989
-3890.109802,365,161.190491
-3827.603856,365,164.098199
-3923.618131,365,166.955129
-3978.145441,365,169.815846
-3851.565248,365,172.778346
-3838.494063,365,175.657809
-3976.173703,365,178.566361
-3841.983769,365,181.615114
-3808.06647,365,184.786993
-3798.643492,365,188.082891
-3796.348564,365,191.531278
-3645.472233,365,195.753893
-3672.481078,365,198.610311
-3573.068025,365,201.490672
-3568.627924,365,204.37557
-3566.903344,365,207.340643
-3543.207949,365,210.245446
-3573.71877,365,213.125869
-3478.910529,365,215.975759
-3474.805069,365,218.787737
-3440.886593,365,221.69645
-3433.640649,365,224.898031
-3397.657671,365,228.165415
-3476.449205,365,231.310816
-3461.365241,365,234.268907
-3478.471401,365,238.513588
-3498.834836,365,241.435702
-3484.225817,365,244.521047
-3517.10729,365,247.634628
