#{"t_start": 1777344675.0154219, "env_id": "None"}
r,l,t
-18055.866773,365,0.687878
-18082.96635,365,0.744767
-19772.265918,365,0.801331
-18626.442044,365,0.85739
-19131.863071,365,0.915713
-18566.008814,365,3.653226
-12303.486259,365,8.532477
-10371.734392,365,13.78231
-10271.578306,365,18.640448
-9965.904066,365,23.754326
-8887.357897,365,28.803301
-8217.584786,365,33.860317
-7417.032718,365,38.698579
-6868.184435,365,46.244347
-6531.598469,365,51.137519
-6284.331496,365,56.276931
-6251.293798,365,61.135843
-6252.246089,365,66.252287
-6204.533739,365,71.47038
-6092.667392,365,76.633744
-6010.072254,365,81.501622
-6020.556212,365,86.66318
-5910.476593,365,91.841612
-5838.805587,365,97.034336
-5683.572859,365,101.897758
-5643.29141,365,107.280711
-5616.825523,365,112.385487
-5424.257537,365,119.831254
-5423.177342,365,124.648161
-5439.316466,365,129.818456
-5325.011765,365,135.016687
-5217.468433,365,140.206427
-5130.693786,365,145.061445
-5098.733384,365,150.209556
-4902.008127,365,155.290481
-4816.543393,365,160.442782
-4715.724914,365,165.295037
-4636.081966,365,170.425204
-4641.609961,365,175.665417
-4532.379831,365,180.95609
-4425.438002,365,185.79372
-4543.526143,365,193.260691
-4447.075169,365,198.151454
-4350.767194,365,203.31009
-4342.637972,365,208.149813
-4340.766418,365,213.33967
-4223.366151,365,218.437711
-4292.031909,365,223.600725
-4246.939814,365,228.516556
-4234.789951,365,233.68593
-4239.405185,365,238.913449
-4173.952616,365,244.110377
-4142.744391,365,248.974941
-4157.670646,365,254.147465
-4096.325174,365,261.897111
-4061.352711,365,266.792407
-4110.276712,365,271.683497
-4122.638484,365,276.724338
-4052.557662,365,281.88871
-4084.417839,365,286.964478
-4055.266652,365,291.785436
-4046.477159,365,296.905119
-4106.999287,365,301.964546
-4053.144218,365,307.162556
-4126.878737,365,312.008168
-4111.901162,365,317.164286
-4023.01147,365,322.288296
-4026.922108,365,327.484266
-3961.545703,365,334.762502
-4023.44891,365,339.766097
-4022.282354,365,344.9283
-4017.736249,365,350.087123
-4016.844217,365,354.933785
-3994.769143,365,360.136092
-3980.197773,365,366.004721
-3896.325128,365,372.389221
-3971.026105,365,377.667912
-4011.498364,365,383.64309
-3944.970174,365,389.948374
-4014.974702,365,396.265545
-3917.513411,365,401.719532
-4004.434686,365,407.7186
-3985.112858,365,415.586702
-4026.510139,365,420.860749
-3990.514902,365,426.262588
-3956.564088,365,432.57433
-3937.603299,365,438.181232
-3934.222006,365,444.164253
-3923.86064,365,448.700393
-3873.351428,365,454.476335
-3915.814607,365,460.963676
-3843.317563,365,466.745753
-3810.291083,365,471.697025
-3801.639225,365,477.547922
-3821.080847,365,483.08902
-3804.581072,365,491.539639
-3814.380476,365,496.470226
-3856.409523,365,501.876064
-3837.031575,365,507.506193
-3834.734317,365,513.5914
-3838.3834,365,518.59535
-3824.022736,365,524.295407
-3799.427392,365,530.253323
-3772.174356,365,536.009004
-3786.725515,365,541.062444
-3790.380677,365,546.856651
-3717.530758,365,552.78028
-3724.632757,365,558.78242
-3744.641276,365,563.832538
-3769.456842,365,571.978794
-3657.079343,365,577.346287
-3747.899349,365,583.58514
-3638.84568,365,588.594393
-3694.857641,365,594.198821
-3644.169267,365,599.802402
-3660.876334,365,605.813081
-3614.055977,365,611.31685
-3664.392507,365,617.424905
-3639.04889,365,623.532488
-3678.826991,365,629.967816
-3646.304017,365,635.160931
-3637.56696,365,641.675621
-3689.550667,365,647.874367
-3671.468622,365,655.843386
-3545.702351,365,660.874208
-3582.891844,365,670.787697
-3600.469037,365,682.807804
-3597.04322,365,694.753499
-3654.309621,365,707.977598
-3582.280727,365,721.133016
-3582.545455,365,733.284134
-3627.41921,365,745.33408
-3543.889527,365,757.154419
-3593.274214,365,771.575235
-3574.62421,365,783.70562
-3606.700094,365,797.391585
-3576.134311,365,808.12498
-3549.875429,365,813.033684
-3502.750506,365,817.682256
-3591.996663,365,822.989858
-3628.811941,365,827.883643
-3491.770069,365,833.09336
-3498.384111,365,838.253542
-3608.893193,365,843.507066
-3469.532572,365,848.368747
-3505.167661,365,853.533756
-3488.341574,365,858.709745
-3515.120312,365,863.908317
-3556.477795,365,868.79479
-3566.21438,365,873.968174
-3466.852867,365,881.306283
-3486.878251,365,886.163352
-3430.698886,365,891.019474
-3502.824339,365,896.073633
-3442.275973,365,901.227267
-3545.841622,365,906.367495
-3639.676114,365,911.24705
-3573.553244,365,916.424383
-3494.978385,365,921.591821
-3564.471114,365,926.863539
-3483.499471,365,931.652999
-3541.036766,365,936.888768
-3448.19358,365,942.042959
-3595.87027,365,947.172599
-3495.270128,365,954.557459
-3462.194314,365,959.617366
-3554.914149,365,964.82148
-3403.647771,365,969.932767
-3531.257717,365,974.742716
-3508.77682,365,979.908022
-3539.165682,365,985.11841
-3484.010917,365,990.334285
-3440.198979,365,995.195972
-3476.336853,365,1000.352353
-3459.730407,365,1005.488545
-3485.646105,365,1010.703643
-3490.604334,365,1015.528356
-3483.813011,365,1020.712678
-3462.460647,365,1028.220556
-3423.814569,365,1033.024966
-3419.431554,365,1037.89644
-3429.487086,365,1043.105717
-3465.940026,365,1048.310697
-3434.531315,365,1053.603942
-3393.505686,365,1058.423616
-3283.901499,365,1063.543648
-3372.979093,365,1068.748655
-3363.102701,365,1073.9074
-3428.138947,365,1078.723369
-3440.268516,365,1083.863332
-3355.156507,365,1089.120084
-3346.927672,365,1096.774537
-3397.107406,365,1101.714156
-3357.424843,365,1106.781159
-3357.006278,365,1112.012605
-3340.716175,365,1117.268582
-3426.961434,365,1122.103321
-3427.114652,365,1127.245578
-3374.428192,365,1132.452278
-3365.18066,365,1137.732182
-3330.488459,365,1142.586678
-3369.970172,365,1147.770184
-3309.490492,365,1152.927387
-3296.928029,365,1158.10118
-3373.312537,365,1162.972092
-3372.152753,365,1170.479065
-3343.861544,365,1175.334071
-3314.362383,365,1181.305973
-3303.300252,365,1186.596059
-3327.346358,365,1191.914942
-3399.464214,365,1197.709767
-3333.819513,365,1203.944351
-3290.910952,365,1209.118744
-3497.389045,365,1215.031161
-3310.321565,365,1221.451095
-3298.484745,365,1227.401924
-3322.357869,365,1232.614932
-3367.171428,365,1238.931167
-3314.716767,365,1245.381935
-3346.093095,365,1253.117362
-3317.492606,365,1258.020321
-3294.923757,365,1263.714974
-3324.593323,365,1269.655128
-3388.007758,365,1275.492245
-3357.498975,365,1280.507962
-3353.347757,365,1286.020956
-3315.820696,365,1292.438073
-3330.016013,365,1298.036327
-3323.248595,365,1303.271697
-3272.728003,365,1309.244219
-3340.42582,365,1315.055366
-3280.546336,365,1320.965144
-3297.033511,365,1328.670149
-3369.121082,365,1333.591427
-3325.708794,365,1339.365759
-3362.12928,365,1345.585204
-3299.015679,365,1350.795708
-3285.004911,365,1356.591886
-3357.358349,365,1362.98098
-3273.775194,365,1369.433234
-3366.186449,365,1374.749603
-3303.178009,365,1381.270366
-3358.241307,365,1387.632603
-3340.963692,365,1394.051466
-3320.618975,365,1399.322386
-3298.784896,365,1405.508564
-3263.667092,365,1413.204073
-3267.227805,365,1418.156254
-3268.581008,365,1423.541651
-3290.991427,365,1430.039406
-3270.002095,365,1436.260073
-3256.045175,365,1442.611436
-3299.562417,365,1447.631487
-3253.847724,365,1453.58752
-3192.978502,365,1459.877869
-3300.896435,365,1465.629041
-3247.695719,365,1470.791033
-3340.493798,365,1477.188143
-3259.654651,365,1490.681816
-3285.694186,365,1503.204943
-3336.369012,365,1518.174925
-3377.486811,365,1532.42481
-3307.126053,365,1544.466924
-3288.367189,365,1556.372718
-3274.752497,365,1568.742298
-3185.6826,365,1581.399985
-3236.572232,365,1594.909025
-3251.867124,365,1606.719931
-3351.83945,365,1618.470104
-3213.518912,365,1630.621057
