variant,seed,cost,viol,tlp,lam,t
full,0,16.836754780661703,0,36.21037779497965,677.1957227101311,295.45654797554016
full,1,12.463743792185804,0,6.20292838554451,459.28308766596456,295.87831807136536
full,2,11.773856288601467,0,25.96772323062396,436.28768172149637,296.637980222702
no_feasibility_realization,0,29.224839485103736,6,2659.1991200321972,2000.0,294.84306025505066
no_feasibility_realization,1,29.453142179251564,5,2579.49370376514,2000.0,294.20625495910645
no_feasibility_realization,2,32.09427027120119,7,1968.513253761228,2000.0,294.5812180042267
no_soft_margin,0,7.122589099029041,0,7.840101329200479,423.78008239442,295.3695981502533
no_soft_margin,1,5.049093403485592,0,43.25989023125112,339.0236581099423,296.07501697540283
no_soft_margin,2,5.4851578956309375,0,23.858766566198028,316.07041766348976,296.0151298046112
no_surge_penalty,0,16.836754780661703,0,36.21037779497965,677.1957227101311,296.97460103034973
no_surge_penalty,1,12.463743792185804,0,6.20292838554451,459.28308766596456,296.6589078903198
no_surge_penalty,2,11.773856288601467,0,25.96772323062396,436.28768172149637,296.293653011322
no_terminal_linepack,0,16.836754780661703,0,36.21037779497965,677.1957227101311,297.2966070175171
no_terminal_linepack,1,12.463743792185804,0,6.20292838554451,459.28308766596456,296.83328890800476
no_terminal_linepack,2,11.773856288601467,0,25.96772323062396,436.28768172149637,296.51599287986755
