method,seed,kind,scenario,cost,viol,eff,tlp_gap,time
Rule,0,nominal,-1,26.912994764016766,20,0.8160751673210399,4903.718823740728,0.0023059844970703125
Rule,0,perturb,0,26.932118491139164,20,0.8161353871272435,4872.371145810943,0.0023059844970703125
Rule,0,perturb,1,27.49716846941775,20,0.8163449750739143,4862.833999680606,0.0023059844970703125
Rule,0,perturb,2,27.0154169091143,20,0.8155654120877659,4937.572999285876,0.0023059844970703125
Rule,0,perturb,3,26.724953529662187,20,0.8162313506114639,4886.860990153691,0.0023059844970703125
Rule,0,perturb,4,27.53841356798287,20,0.8164921250198741,4906.94307112199,0.0023059844970703125
Rule,0,perturb,5,27.122669684414603,20,0.816771860050603,4813.042671906038,0.0023059844970703125
GA,0,nominal,-1,6.182487583542594,0,0.850877928394128,0.038080475404058234,11.582166194915771
GA,0,perturb,0,6.188292336340275,0,0.8507131391622756,26.900957657226172,11.582166194915771
GA,0,perturb,1,6.178809340626798,0,0.8497230102901662,37.704202637189155,11.582166194915771
GA,0,perturb,2,6.171431262974176,0,0.8511030382808965,4.492780612425122,11.582166194915771
GA,0,perturb,3,10.062107383243038,0,0.8509543900813893,15.81685011290756,11.582166194915771
GA,0,perturb,4,6.17377822046769,0,0.8503303396991422,32.86979097078802,11.582166194915771
GA,0,perturb,5,6.199384497279158,0,0.849461648894344,74.71572197465866,11.582166194915771
GA,1,nominal,-1,5.708107848100386,0,0.847781495594659,0.004345386498243897,11.419777870178223
GA,1,perturb,0,5.710012671141185,0,0.8471944887997896,21.167880082151896,11.419777870178223
GA,1,perturb,1,3.5835442959695305,0,0.8467552540477822,44.6443720612333,11.419777870178223
GA,1,perturb,2,4.6617203828203,0,0.8496051658741456,19.824713431064083,11.419777870178223
GA,1,perturb,3,9.586324103204424,0,0.8482456345546021,15.714796491967718,11.419777870178223
GA,1,perturb,4,3.5773991301859187,0,0.8461433540799699,29.133988398963993,11.419777870178223
GA,1,perturb,5,5.723462853737201,0,0.846190562651083,77.59075079923969,11.419777870178223
GA,2,nominal,-1,5.94399190470973,0,0.8451685595316117,0.025684355317935115,11.555233001708984
GA,2,perturb,0,5.950215013737825,0,0.8460432845517852,42.621108287537936,11.555233001708984
GA,2,perturb,1,4.05640335626343,0,0.8446556520376349,40.18919688089227,11.555233001708984
GA,2,perturb,2,4.98548141147589,0,0.8465981140020323,15.449050379218534,11.555233001708984
GA,2,perturb,3,8.9934134205703,0,0.8453604461907253,16.106348131088453,11.555233001708984
GA,2,perturb,4,4.046933467563237,0,0.8448068778249125,3.6384339119958895,11.555233001708984
GA,2,perturb,5,5.967129888530342,0,0.8439794819853753,92.1376051041807,11.555233001708984
MPC,0,nominal,-1,6.019762296868296,2,0.8490458376409974,127.81650978381913,6.717649698257446
MPC,0,perturb,0,6.730184497724367,2,0.8505189267779479,87.74817678063664,6.717649698257446
MPC,0,perturb,1,8.289593596333614,2,0.8501010896892259,95.55542580551628,6.717649698257446
MPC,0,perturb,2,7.61650813559118,2,0.8504898749183001,80.45213204217725,6.717649698257446
MPC,0,perturb,3,9.027722317775606,2,0.8504934528836757,77.596048277921,6.717649698257446
MPC,0,perturb,4,7.794578021425167,2,0.8500832182788499,99.10660026302139,6.717649698257446
MPC,0,perturb,5,5.977879304505333,2,0.849791980986884,137.56217848548658,6.717649698257446
DP-oracle,0,nominal,-1,6.019762296868296,2,0.8490458376409974,127.81650978381913,6.756494045257568
DP-oracle,0,perturb,0,6.730184497724367,2,0.8505189267779479,87.74817678063664,6.756494045257568
DP-oracle,0,perturb,1,3.6853540002285117,0,0.8467000215024275,9.499321620409319,6.756494045257568
DP-oracle,0,perturb,2,4.555360836064468,0,0.8520844375179223,40.201896285365365,6.756494045257568
DP-oracle,0,perturb,3,7.667661159047816,3,0.8485400519401592,33.846113415274885,6.756494045257568
DP-oracle,0,perturb,4,3.3061057088246115,0,0.8460789243830654,38.20828009822799,6.756494045257568
DP-oracle,0,perturb,5,5.99140761311741,2,0.8498145551246895,131.4747930462072,6.756494045257568
SAC,0,nominal,-1,4.851209332285346,0,0.8402812596982092,237.91799002121115,0.004670143127441406
SAC,0,perturb,0,6.0324801255739295,0,0.8436853344378985,61.02161786522629,0.004670143127441406
SAC,0,perturb,1,3.1911183194351826,0,0.8423206612145305,73.35511567780668,0.004670143127441406
SAC,0,perturb,2,3.6681687893575234,0,0.8417325279492021,46.849873059145466,0.004670143127441406
SAC,0,perturb,3,7.513088724860342,0,0.8404800228013155,329.64740609096407,0.004670143127441406
SAC,0,perturb,4,3.044551129539023,0,0.8426143285927351,80.10421599435722,0.004670143127441406
SAC,0,perturb,5,6.496823322275757,0,0.841566311639145,65.71823951320039,0.004670143127441406
TD3,0,nominal,-1,0.0,0,0.8325102926238541,1706.428757442447,0.0032689571380615234
TD3,0,perturb,0,0.0,0,0.8332775893875249,1746.5402786456743,0.0032689571380615234
TD3,0,perturb,1,0.0,0,0.8317659681015162,1740.6819379629633,0.0032689571380615234
TD3,0,perturb,2,0.0,0,0.8341125494690554,1695.4726210662193,0.0032689571380615234
TD3,0,perturb,3,0.0,0,0.832571031385096,1719.6415435891795,0.0032689571380615234
TD3,0,perturb,4,0.0,0,0.8321514784445198,1702.762037635086,0.0032689571380615234
TD3,0,perturb,5,0.0,0,0.8308855879940394,1786.440022487648,0.0032689571380615234
PPO,0,nominal,-1,7.781380427377299,0,0.8401507888610178,17.009858594627076,0.003271818161010742
PPO,0,perturb,0,7.758550538128915,0,0.8438029338101835,87.8379105434451,0.003271818161010742
PPO,0,perturb,1,3.8334550139335297,0,0.8394724169345983,54.514509907983665,0.003271818161010742
PPO,0,perturb,2,3.8293022449267577,0,0.8416751823617981,3.029243287128338,0.003271818161010742
PPO,0,perturb,3,11.598510447360727,0,0.8402610608252227,31.609824584184025,0.003271818161010742
PPO,0,perturb,4,3.8314374540197518,0,0.8397822962698784,12.945103266465594,0.003271818161010742
PPO,0,perturb,5,7.795593652845545,0,0.8387238257658819,106.08976765717671,0.003271818161010742
