commanded_alpha,realized_alpha,p_source,q0,Qin,head,omega,omega_raw,phi,eta,power_kwh,feasible_on
1.0,1.0,100.0,0.0,0.0,0.0,5000.0,5000.0,0.0,0.88,0.0,0
1.005,1.0,100.5,70.8,708.0,0.689,5000.0,663.2,0.1416,0.88,0.0025,0
1.01,1.0,101.0,100.25,1002.5,1.375,5000.0,937.6,0.2005,0.88,0.007,0
1.015,1.0,101.5,122.93,1229.3,2.058,5000.0,1148.1,0.2459,0.88,0.0129,0
1.02,1.0,102.0,142.13,1421.3,2.739,5000.0,1325.4,0.2843,0.877,0.02,0
1.025,1.0,102.5,159.1,1591.0,3.417,5000.0,1481.5,0.3182,0.8514,0.0287,0
1.03,1.0,103.0,174.5,1745.0,4.093,5000.0,1622.5,0.349,0.8326,0.0386,0
1.035,1.0,103.5,188.71,1887.1,4.766,5000.0,1752.1,0.3774,0.8187,0.0494,0
1.04,1.0,104.0,201.99,2019.9,5.437,5000.0,1872.7,0.404,0.8085,0.0611,0
1.045,1.0,104.5,214.51,2145.1,6.105,5000.0,1985.9,0.429,0.8011,0.0736,0
1.05,1.0,105.0,226.38,2263.8,6.771,5000.0,2092.9,0.4528,0.7961,0.0867,0
1.055,1.0,105.5,237.72,2377.2,7.434,5000.0,2194.6,0.4754,0.7928,0.1003,0
1.06,1.0,106.0,248.6,2486.0,8.095,5000.0,2291.8,0.4972,0.791,0.1145,0
1.065,1.0,106.5,259.06,2590.6,8.754,5000.0,2384.9,0.5181,0.7904,0.1291,0
1.07,1.0,107.0,269.17,2691.7,9.41,5000.0,2474.5,0.5383,0.7907,0.1441,0
1.075,1.0,107.5,278.95,2789.5,10.064,5000.0,2561.0,0.5579,0.7919,0.1595,0
1.08,1.0,108.0,288.44,2884.4,10.715,5000.0,2644.5,0.5769,0.7937,0.1752,0
1.085,1.0,108.5,297.68,2976.8,11.365,5000.0,2725.5,0.5954,0.7961,0.1912,0
1.09,1.0,109.0,306.68,3066.8,12.012,5000.0,2804.1,0.6134,0.7989,0.2075,0
1.095,1.0,109.5,315.46,3154.6,12.656,5000.0,2880.6,0.6309,0.802,0.224,0
1.1,1.0,110.0,324.04,3240.4,13.299,5000.0,2955.0,0.6481,0.8054,0.2408,0
1.105,1.0,110.5,332.43,3324.3,13.939,5000.0,3027.6,0.6649,0.809,0.2577,0
1.11,1.0,111.0,340.66,3406.6,14.577,5000.0,3098.5,0.6813,0.8127,0.2749,0
1.115,1.0,111.5,348.73,3487.3,15.212,5000.0,3167.7,0.6975,0.8165,0.2924,0
1.12,1.0,112.0,356.65,3566.5,15.846,5000.0,3235.5,0.7133,0.8204,0.31,0
1.125,1.0,112.5,364.43,3644.3,16.477,5000.0,3301.9,0.7289,0.8242,0.3279,0
1.13,1.0,113.0,372.09,3720.9,17.106,5000.0,3367.0,0.7442,0.828,0.3459,0
1.135,1.0,113.5,379.62,3796.2,17.733,5000.0,3430.8,0.7592,0.8317,0.3643,0
1.14,1.0,114.0,387.04,3870.4,18.358,5000.0,3493.5,0.7741,0.8353,0.3828,0
1.145,1.0,114.5,394.35,3943.5,18.981,5000.0,3555.0,0.7887,0.8387,0.4016,0
1.15,1.0,115.0,401.56,4015.6,19.602,5000.0,3615.5,0.8031,0.842,0.4207,0
1.155,1.0,115.5,408.67,4086.7,20.22,5000.0,3675.0,0.8173,0.8451,0.44,0
1.16,1.0,116.0,415.69,4156.9,20.837,5000.0,3733.6,0.8314,0.848,0.4597,0
1.165,1.0,116.5,422.63,4226.3,21.451,5000.0,3791.3,0.8453,0.8506,0.4796,0
1.17,1.0,117.0,429.48,4294.8,22.064,5000.0,3848.1,0.859,0.853,0.4999,0
1.175,1.0,117.5,436.25,4362.5,22.674,5000.0,3904.1,0.8725,0.8551,0.5205,0
1.18,1.0,118.0,442.94,4429.4,23.283,5000.0,3959.3,0.8859,0.857,0.5415,0
1.185,1.0,118.5,449.57,4495.7,23.889,5000.0,4013.8,0.8991,0.8585,0.5629,0
1.19,1.0,119.0,456.12,4561.2,24.494,5000.0,4067.6,0.9122,0.8598,0.5848,0
1.195,1.0,119.5,462.61,4626.1,25.097,5000.0,4120.6,0.9252,0.8607,0.607,0
1.2,1.0,120.0,469.04,4690.4,25.697,5000.0,4173.1,0.9381,0.8612,0.6298,0
1.205,1.0,120.5,475.41,4754.1,26.296,5000.0,4224.8,0.9508,0.8614,0.653,0
1.21,1.0,121.0,481.72,4817.2,26.893,5000.0,4276.0,0.9634,0.8613,0.6769,0
1.215,1.0,121.5,487.97,4879.7,27.488,5000.0,4326.6,0.9759,0.8607,0.7013,0
1.22,1.0,122.0,494.17,4941.7,28.081,5000.0,4376.6,0.9883,0.8598,0.7263,0
1.225,1.0,122.5,500.31,5003.1,28.672,5000.0,4426.1,1.0006,0.8585,0.7519,0
1.23,1.0,123.0,506.41,5064.1,29.261,5000.0,4475.1,1.0128,0.8567,0.7783,0
1.235,1.0,123.5,512.46,5124.6,29.849,5000.0,4523.5,1.0249,0.8546,0.8054,0
1.24,1.0,124.0,518.46,5184.6,30.435,5000.0,4571.5,1.0369,0.852,0.8334,0
1.245,1.0,124.5,524.42,5244.2,31.018,5000.0,4619.0,1.0488,0.849,0.8622,0
1.25,1.0,125.0,530.33,5303.3,31.6,5000.0,4666.0,1.0607,0.8455,0.8919,0
1.255,1.0,125.5,536.2,5362.0,32.181,5000.0,4712.6,1.0724,0.8416,0.9226,0
1.26,1.0,126.0,542.03,5420.3,32.759,5000.0,4758.8,1.0841,0.8373,0.9544,0
1.265,1.0,126.5,547.83,5478.3,33.336,5000.0,4804.6,1.0957,0.8324,0.9872,0
1.27,1.0,127.0,553.58,5535.8,33.911,5000.0,4849.9,1.1072,0.8271,1.0213,0
1.275,1.0,127.5,559.3,5593.0,34.484,5000.0,4894.9,1.1186,0.8213,1.0567,0
1.28,1.0,128.0,564.98,5649.8,35.056,5000.0,4939.5,1.13,0.815,1.0935,0
1.285,1.0,128.5,570.62,5706.2,35.626,5000.0,4983.7,1.1412,0.8083,1.1318,0
1.29,1.29,129.0,576.24,5762.4,36.194,5027.5,5027.5,1.1462,0.8051,1.1657,1
1.295,1.295,129.5,581.82,5818.2,36.76,5071.1,5071.1,1.1473,0.8044,1.1965,1
1.3,1.3,130.0,587.37,5873.7,37.325,5114.2,5114.2,1.1485,0.8036,1.2276,1
1.305,1.305,130.5,592.88,5928.8,37.888,5157.1,5157.1,1.1497,0.8029,1.2591,1
1.31,1.31,131.0,598.37,5983.7,38.449,5199.6,5199.6,1.1508,0.8021,1.2908,1
1.315,1.315,131.5,603.83,6038.3,39.009,5241.8,5241.8,1.1519,0.8013,1.3228,1
1.32,1.32,132.0,609.26,6092.6,39.567,5283.8,5283.8,1.1531,0.8006,1.3551,1
1.325,1.325,132.5,614.66,6146.6,40.124,5325.4,5325.4,1.1542,0.7998,1.3876,1
1.33,1.33,133.0,620.04,6200.4,40.679,5366.8,5366.8,1.1553,0.799,1.4205,1
1.335,1.335,133.5,625.39,6253.9,41.232,5407.8,5407.8,1.1565,0.7983,1.4536,1
1.34,1.34,134.0,630.71,6307.1,41.784,5448.6,5448.6,1.1576,0.7975,1.4871,1
1.345,1.345,134.5,636.01,6360.1,42.334,5489.2,5489.2,1.1587,0.7967,1.5208,1
1.35,1.35,135.0,641.29,6412.9,42.882,5529.4,5529.4,1.1598,0.7959,1.5548,1
1.355,1.355,135.5,646.54,6465.4,43.429,5569.4,5569.4,1.1609,0.7952,1.589,1
1.36,1.36,136.0,651.77,6517.7,43.975,5609.2,5609.2,1.162,0.7944,1.6236,1
1.365,1.365,136.5,656.97,6569.7,44.519,5648.8,5648.8,1.163,0.7936,1.6584,1
1.37,1.37,137.0,662.16,6621.6,45.061,5688.1,5688.1,1.1641,0.7928,1.6935,1
1.375,1.375,137.5,667.32,6673.2,45.602,5727.1,5727.1,1.1652,0.7921,1.7289,1
1.38,1.38,138.0,672.46,6724.6,46.141,5766.0,5766.0,1.1662,0.7913,1.7646,1
1.385,1.385,138.5,677.58,6775.8,46.679,5804.6,5804.6,1.1673,0.7905,1.8005,1
1.39,1.39,139.0,682.68,6826.8,47.215,5843.0,5843.0,1.1684,0.7897,1.8367,1
1.395,1.395,139.5,687.76,6877.6,47.75,5881.3,5881.3,1.1694,0.7889,1.8732,1
1.4,1.4,140.0,692.82,6928.2,48.283,5919.3,5919.3,1.1705,0.7881,1.91,1
1.405,1.405,140.5,697.86,6978.6,48.815,5957.1,5957.1,1.1715,0.7874,1.947,1
1.41,1.41,141.0,702.89,7028.9,49.346,5994.7,5994.7,1.1725,0.7866,1.9843,1
1.415,1.415,141.5,707.89,7078.9,49.875,6032.1,6032.1,1.1735,0.7858,2.0219,1
1.42,1.42,142.0,712.88,7128.8,50.402,6069.3,6069.3,1.1746,0.785,2.0597,1
1.425,1.425,142.5,717.85,7178.5,50.929,6106.4,6106.4,1.1756,0.7842,2.0979,1
1.43,1.43,143.0,722.81,7228.1,51.453,6143.3,6143.3,1.1766,0.7834,2.1362,1
1.435,1.435,143.5,727.74,7277.4,51.977,6180.0,6180.0,1.1776,0.7826,2.1749,1
1.44,1.44,144.0,732.67,7326.7,52.499,6216.5,6216.5,1.1786,0.7819,2.2138,1
1.445,1.445,144.5,737.57,7375.7,53.019,6252.9,6252.9,1.1796,0.7811,2.253,1
