quantity,value,note
p2_state,100.0,downstream pressure used for panel (b)
alpha_on,1.29,"on-threshold at p2=100 (dead band = (1, alpha_on))"
phi_lower,0.8,surge bound = Qin_min/omega_min
phi_upper,1.3298,choke bound = Qin_max/omega_max
omega_min,5000.0,rpm
omega_max,9400.0,rpm
qin_min,4000.0,
qin_max,12500.0,
kappa,1.3,specific heat ratio
poly_eta_ascending,"[134.806, -262.296, 390.048, -176.702]","[AE,BE,CE,DE]"
poly_h_ascending,"[6.223e-06, -1.45e-05, 1.618e-05, -6.261e-06]","[AH,BH,CH,DH]"
