phi,eta,H_over_omega2,in_feasible_band
0.5,0.79082,2.235e-06,0
0.505,0.79061,2.220e-06,0
0.51,0.79047,2.206e-06,0
0.515,0.79038,2.192e-06,0
0.52,0.79035,2.178e-06,0
0.525,0.79038,2.164e-06,0
0.53,0.79047,2.151e-06,0
0.535,0.79061,2.138e-06,0
0.54,0.7908,2.125e-06,0
0.545,0.79104,2.113e-06,0
0.55,0.79134,2.101e-06,0
0.555,0.79168,2.089e-06,0
0.56,0.79208,2.078e-06,0
0.565,0.79251,2.066e-06,0
0.57,0.793,2.055e-06,0
0.575,0.79353,2.045e-06,0
0.58,0.7941,2.034e-06,0
0.585,0.79471,2.024e-06,0
0.59,0.79536,2.014e-06,0
0.595,0.79605,2.005e-06,0
0.6,0.79678,1.995e-06,0
0.605,0.79754,1.986e-06,0
0.61,0.79834,1.977e-06,0
0.615,0.79917,1.969e-06,0
0.62,0.80004,1.960e-06,0
0.625,0.80093,1.952e-06,0
0.63,0.80186,1.944e-06,0
0.635,0.80281,1.937e-06,0
0.64,0.80379,1.929e-06,0
0.645,0.80479,1.922e-06,0
0.65,0.80582,1.915e-06,0
0.655,0.80687,1.908e-06,0
0.66,0.80794,1.901e-06,0
0.665,0.80904,1.894e-06,0
0.67,0.81015,1.888e-06,0
0.675,0.81128,1.882e-06,0
0.68,0.81242,1.876e-06,0
0.685,0.81358,1.870e-06,0
0.69,0.81475,1.865e-06,0
0.695,0.81594,1.859e-06,0
0.7,0.81714,1.854e-06,0
0.705,0.81834,1.848e-06,0
0.71,0.81955,1.843e-06,0
0.715,0.82077,1.839e-06,0
0.72,0.822,1.834e-06,0
0.725,0.82323,1.829e-06,0
0.73,0.82446,1.825e-06,0
0.735,0.8257,1.820e-06,0
0.74,0.82693,1.816e-06,0
0.745,0.82817,1.812e-06,0
0.75,0.8294,1.808e-06,0
0.755,0.83063,1.804e-06,0
0.76,0.83185,1.800e-06,0
0.765,0.83306,1.796e-06,0
0.77,0.83427,1.793e-06,0
0.775,0.83547,1.789e-06,0
0.78,0.83666,1.786e-06,0
0.785,0.83784,1.782e-06,0
0.79,0.839,1.779e-06,0
0.795,0.84015,1.776e-06,0
0.8,0.84128,1.773e-06,1
0.805,0.8424,1.769e-06,1
0.81,0.8435,1.766e-06,1
0.815,0.84458,1.763e-06,1
0.82,0.84564,1.760e-06,1
0.825,0.84667,1.757e-06,1
0.83,0.84768,1.754e-06,1
0.835,0.84867,1.752e-06,1
0.84,0.84963,1.749e-06,1
0.845,0.85057,1.746e-06,1
0.85,0.85147,1.743e-06,1
0.855,0.85234,1.740e-06,1
0.86,0.85319,1.737e-06,1
0.865,0.854,1.735e-06,1
0.87,0.85477,1.732e-06,1
0.875,0.85551,1.729e-06,1
0.88,0.85621,1.726e-06,1
0.885,0.85688,1.723e-06,1
0.89,0.8575,1.720e-06,1
0.895,0.85809,1.717e-06,1
0.9,0.85863,1.715e-06,1
0.905,0.85913,1.712e-06,1
0.91,0.85958,1.709e-06,1
0.915,0.85999,1.705e-06,1
0.92,0.86035,1.702e-06,1
0.925,0.86066,1.699e-06,1
0.93,0.86092,1.696e-06,1
0.935,0.86113,1.693e-06,1
0.94,0.86128,1.689e-06,1
0.945,0.86139,1.686e-06,1
0.95,0.86143,1.682e-06,1
0.955,0.86142,1.679e-06,1
0.96,0.86135,1.675e-06,1
0.965,0.86123,1.671e-06,1
0.97,0.86104,1.668e-06,1
0.975,0.86079,1.664e-06,1
0.98,0.86048,1.659e-06,1
0.985,0.8601,1.655e-06,1
0.99,0.85965,1.651e-06,1
0.995,0.85914,1.647e-06,1
1.0,0.85856,1.642e-06,1
1.005,0.85791,1.637e-06,1
1.01,0.85719,1.633e-06,1
1.015,0.85639,1.628e-06,1
1.02,0.85552,1.622e-06,1
1.025,0.85458,1.617e-06,1
1.03,0.85356,1.612e-06,1
1.035,0.85246,1.606e-06,1
1.04,0.85128,1.601e-06,1
1.045,0.85003,1.595e-06,1
1.05,0.84868,1.589e-06,1
1.055,0.84726,1.582e-06,1
1.06,0.84575,1.576e-06,1
1.065,0.84416,1.569e-06,1
1.07,0.84248,1.562e-06,1
1.075,0.84071,1.555e-06,1
1.08,0.83885,1.548e-06,1
1.085,0.8369,1.541e-06,1
1.09,0.83485,1.533e-06,1
1.095,0.83271,1.525e-06,1
1.1,0.83048,1.517e-06,1
1.105,0.82815,1.509e-06,1
1.11,0.82572,1.501e-06,1
1.115,0.8232,1.492e-06,1
1.12,0.82057,1.483e-06,1
1.125,0.81784,1.474e-06,1
1.13,0.81501,1.464e-06,1
1.135,0.81207,1.455e-06,1
1.14,0.80903,1.445e-06,1
1.145,0.80588,1.434e-06,1
1.15,0.80262,1.424e-06,1
1.155,0.79926,1.413e-06,1
1.16,0.79578,1.402e-06,1
1.165,0.79219,1.391e-06,1
1.17,0.78848,1.379e-06,1
1.175,0.78466,1.367e-06,1
1.18,0.78073,1.355e-06,1
1.185,0.77667,1.343e-06,1
1.19,0.7725,1.330e-06,1
1.195,0.7682,1.317e-06,1
1.2,0.76379,1.303e-06,1
1.205,0.75925,1.289e-06,1
1.21,0.75459,1.275e-06,1
1.215,0.7498,1.261e-06,1
1.22,0.74488,1.246e-06,1
1.225,0.73984,1.231e-06,1
1.23,0.73467,1.216e-06,1
1.235,0.72936,1.200e-06,1
1.24,0.72392,1.184e-06,1
1.245,0.71835,1.168e-06,1
1.25,0.71265,1.151e-06,1
1.255,0.70681,1.134e-06,1
1.26,0.70083,1.116e-06,1
1.265,0.69471,1.098e-06,1
1.27,0.68845,1.080e-06,1
1.275,0.68205,1.061e-06,1
1.28,0.67551,1.042e-06,1
1.285,0.66882,1.023e-06,1
1.29,0.66199,1.003e-06,1
1.295,0.65501,9.825e-07,1
1.3,0.64788,9.618e-07,1
1.305,0.6406,9.407e-07,1
1.31,0.63317,9.192e-07,1
1.315,0.62559,8.973e-07,1
1.32,0.61786,8.749e-07,1
1.325,0.60997,8.522e-07,1
1.33,0.60193,8.289e-07,0
1.335,0.59372,8.053e-07,0
1.34,0.58536,7.812e-07,0
1.345,0.57684,7.566e-07,0
1.35,0.56816,7.316e-07,0
1.355,0.55931,7.062e-07,0
1.36,0.5503,6.803e-07,0
1.365,0.54113,6.539e-07,0
1.37,0.53178,6.270e-07,0
1.375,0.52227,5.997e-07,0
1.38,0.51259,5.718e-07,0
1.385,0.50274,5.435e-07,0
1.39,0.5,5.147e-07,0
1.395,0.5,4.854e-07,0
1.4,0.5,4.556e-07,0
1.405,0.5,4.253e-07,0
1.41,0.5,3.945e-07,0
1.415,0.5,3.632e-07,0
1.42,0.5,3.313e-07,0
1.425,0.5,2.989e-07,0
1.43,0.5,2.660e-07,0
1.435,0.5,2.326e-07,0
1.44,0.5,1.986e-07,0
1.445,0.5,1.641e-07,0
1.45,0.5,1.290e-07,0
1.455,0.5,9.339e-08,0
1.46,0.5,5.720e-08,0
1.465,0.5,2.046e-08,0
1.47,0.5,-1.685e-08,0
1.475,0.5,-5.473e-08,0
1.48,0.5,-9.319e-08,0
1.485,0.5,-1.322e-07,0
1.49,0.5,-1.719e-07,0
1.495,0.5,-2.121e-07,0
1.5,0.5,-2.529e-07,0
1.505,0.5,-2.943e-07,0
1.51,0.5,-3.363e-07,0
1.515,0.5,-3.789e-07,0
1.52,0.5,-4.222e-07,0
1.525,0.5,-4.660e-07,0
1.53,0.5,-5.105e-07,0
1.535,0.5,-5.556e-07,0
1.54,0.5,-6.013e-07,0
1.545,0.5,-6.477e-07,0
1.55,0.5,-6.947e-07,0
1.555,0.5,-7.424e-07,0
1.56,0.5,-7.907e-07,0
1.565,0.5,-8.397e-07,0
1.57,0.5,-8.893e-07,0
1.575,0.5,-9.396e-07,0
1.58,0.5,-9.906e-07,0
1.585,0.5,-1.042e-06,0
1.59,0.5,-1.095e-06,0
1.595,0.5,-1.148e-06,0
1.6,0.5,-1.201e-06,0
