phi,eta_surge,eta_feasible,eta_choke
0.5,0.79082,,
0.505,0.79061,,
0.51,0.79047,,
0.515,0.79038,,
0.52,0.79035,,
0.525,0.79038,,
0.53,0.79047,,
0.535,0.79061,,
0.54,0.7908,,
0.545,0.79104,,
0.55,0.79134,,
0.555,0.79168,,
0.56,0.79208,,
0.565,0.79251,,
0.57,0.793,,
0.575,0.79353,,
0.58,0.7941,,
0.585,0.79471,,
0.59,0.79536,,
0.595,0.79605,,
0.6,0.79678,,
0.605,0.79754,,
0.61,0.79834,,
0.615,0.79917,,
0.62,0.80004,,
0.625,0.80093,,
0.63,0.80186,,
0.635,0.80281,,
0.64,0.80379,,
0.645,0.80479,,
0.65,0.80582,,
0.655,0.80687,,
0.66,0.80794,,
0.665,0.80904,,
0.67,0.81015,,
0.675,0.81128,,
0.68,0.81242,,
0.685,0.81358,,
0.69,0.81475,,
0.695,0.81594,,
0.7,0.81714,,
0.705,0.81834,,
0.71,0.81955,,
0.715,0.82077,,
0.72,0.822,,
0.725,0.82323,,
0.73,0.82446,,
0.735,0.8257,,
0.74,0.82693,,
0.745,0.82817,,
0.75,0.8294,,
0.755,0.83063,,
0.76,0.83185,,
0.765,0.83306,,
0.77,0.83427,,
0.775,0.83547,,
0.78,0.83666,,
0.785,0.83784,,
0.79,0.839,,
0.795,0.84015,,
0.8,0.84128,0.84128,
0.805,,0.8424,
0.81,,0.8435,
0.815,,0.84458,
0.82,,0.84564,
0.825,,0.84667,
0.83,,0.84768,
0.835,,0.84867,
0.84,,0.84963,
0.845,,0.85057,
0.85,,0.85147,
0.855,,0.85234,
0.86,,0.85319,
0.865,,0.854,
0.87,,0.85477,
0.875,,0.85551,
0.88,,0.85621,
0.885,,0.85688,
0.89,,0.8575,
0.895,,0.85809,
0.9,,0.85863,
0.905,,0.85913,
0.91,,0.85958,
0.915,,0.85999,
0.92,,0.86035,
0.925,,0.86066,
0.93,,0.86092,
0.935,,0.86113,
0.94,,0.86128,
0.945,,0.86139,
0.95,,0.86143,
0.955,,0.86142,
0.96,,0.86135,
0.965,,0.86123,
0.97,,0.86104,
0.975,,0.86079,
0.98,,0.86048,
0.985,,0.8601,
0.99,,0.85965,
0.995,,0.85914,
1.0,,0.85856,
1.005,,0.85791,
1.01,,0.85719,
1.015,,0.85639,
1.02,,0.85552,
1.025,,0.85458,
1.03,,0.85356,
1.035,,0.85246,
1.04,,0.85128,
1.045,,0.85003,
1.05,,0.84868,
1.055,,0.84726,
1.06,,0.84575,
1.065,,0.84416,
1.07,,0.84248,
1.075,,0.84071,
1.08,,0.83885,
1.085,,0.8369,
1.09,,0.83485,
1.095,,0.83271,
1.1,,0.83048,
1.105,,0.82815,
1.11,,0.82572,
1.115,,0.8232,
1.12,,0.82057,
1.125,,0.81784,
1.13,,0.81501,
1.135,,0.81207,
1.14,,0.80903,
1.145,,0.80588,
1.15,,0.80262,
1.155,,0.79926,
1.16,,0.79578,
1.165,,0.79219,
1.17,,0.78848,
1.175,,0.78466,
1.18,,0.78073,
1.185,,0.77667,
1.19,,0.7725,
1.195,,0.7682,
1.2,,0.76379,
1.205,,0.75925,
1.21,,0.75459,
1.215,,0.7498,
1.22,,0.74488,
1.225,,0.73984,
1.23,,0.73467,
1.235,,0.72936,
1.24,,0.72392,
1.245,,0.71835,
1.25,,0.71265,
1.255,,0.70681,
1.26,,0.70083,
1.265,,0.69471,
1.27,,0.68845,
1.275,,0.68205,
1.28,,0.67551,
1.285,,0.66882,
1.29,,0.66199,
1.295,,0.65501,
1.3,,0.64788,
1.305,,0.6406,
1.31,,0.63317,
1.315,,0.62559,
1.32,,0.61786,
1.325,,0.60997,
1.33,,,0.60193
1.335,,,0.59372
1.34,,,0.58536
1.345,,,0.57684
1.35,,,0.56816
1.355,,,0.55931
1.36,,,0.5503
1.365,,,0.54113
1.37,,,0.53178
1.375,,,0.52227
1.38,,,0.51259
1.385,,,0.50274
1.39,,,0.5
1.395,,,0.5
1.4,,,0.5
1.405,,,0.5
1.41,,,0.5
1.415,,,0.5
1.42,,,0.5
1.425,,,0.5
1.43,,,0.5
1.435,,,0.5
1.44,,,0.5
1.445,,,0.5
1.45,,,0.5
1.455,,,0.5
1.46,,,0.5
1.465,,,0.5
1.47,,,0.5
1.475,,,0.5
1.48,,,0.5
1.485,,,0.5
1.49,,,0.5
1.495,,,0.5
1.5,,,0.5
1.505,,,0.5
1.51,,,0.5
1.515,,,0.5
1.52,,,0.5
1.525,,,0.5
1.53,,,0.5
1.535,,,0.5
1.54,,,0.5
1.545,,,0.5
1.55,,,0.5
1.555,,,0.5
1.56,,,0.5
1.565,,,0.5
1.57,,,0.5
1.575,,,0.5
1.58,,,0.5
1.585,,,0.5
1.59,,,0.5
1.595,,,0.5
1.6,,,0.5
