commanded_alpha,realized_OFF,realized_ON,identity
1.0,1.0,,1.0
1.005,1.0,,1.005
1.01,1.0,,1.01
1.015,1.0,,1.015
1.02,1.0,,1.02
1.025,1.0,,1.025
1.03,1.0,,1.03
1.035,1.0,,1.035
1.04,1.0,,1.04
1.045,1.0,,1.045
1.05,1.0,,1.05
1.055,1.0,,1.055
1.06,1.0,,1.06
1.065,1.0,,1.065
1.07,1.0,,1.07
1.075,1.0,,1.075
1.08,1.0,,1.08
1.085,1.0,,1.085
1.09,1.0,,1.09
1.095,1.0,,1.095
1.1,1.0,,1.1
1.105,1.0,,1.105
1.11,1.0,,1.11
1.115,1.0,,1.115
1.12,1.0,,1.12
1.125,1.0,,1.125
1.13,1.0,,1.13
1.135,1.0,,1.135
1.14,1.0,,1.14
1.145,1.0,,1.145
1.15,1.0,,1.15
1.155,1.0,,1.155
1.16,1.0,,1.16
1.165,1.0,,1.165
1.17,1.0,,1.17
1.175,1.0,,1.175
1.18,1.0,,1.18
1.185,1.0,,1.185
1.19,1.0,,1.19
1.195,1.0,,1.195
1.2,1.0,,1.2
1.205,1.0,,1.205
1.21,1.0,,1.21
1.215,1.0,,1.215
1.22,1.0,,1.22
1.225,1.0,,1.225
1.23,1.0,,1.23
1.235,1.0,,1.235
1.24,1.0,,1.24
1.245,1.0,,1.245
1.25,1.0,,1.25
1.255,1.0,,1.255
1.26,1.0,,1.26
1.265,1.0,,1.265
1.27,1.0,,1.27
1.275,1.0,,1.275
1.28,1.0,,1.28
1.285,1.0,,1.285
1.29,,1.29,1.29
1.295,,1.295,1.295
1.3,,1.3,1.3
1.305,,1.305,1.305
1.31,,1.31,1.31
1.315,,1.315,1.315
1.32,,1.32,1.32
1.325,,1.325,1.325
1.33,,1.33,1.33
1.335,,1.335,1.335
1.34,,1.34,1.34
1.345,,1.345,1.345
1.35,,1.35,1.35
1.355,,1.355,1.355
1.36,,1.36,1.36
1.365,,1.365,1.365
1.37,,1.37,1.37
1.375,,1.375,1.375
1.38,,1.38,1.38
1.385,,1.385,1.385
1.39,,1.39,1.39
1.395,,1.395,1.395
1.4,,1.4,1.4
1.405,,1.405,1.405
1.41,,1.41,1.41
1.415,,1.415,1.415
1.42,,1.42,1.42
1.425,,1.425,1.425
1.43,,1.43,1.43
1.435,,1.435,1.435
1.44,,1.44,1.44
1.445,,1.445,1.445
1.45,,1.45,1.45
1.455,,1.455,1.455
1.46,,1.46,1.46
1.465,,1.465,1.465
1.47,,1.47,1.47
1.475,,1.475,1.475
1.48,,1.48,1.48
1.485,,1.485,1.485
1.49,,1.49,1.49
1.495,,1.495,1.495
1.5,,1.5,1.5
1.505,,1.505,1.505
1.51,,1.51,1.51
1.515,,1.515,1.515
1.52,,1.52,1.52
1.525,,1.525,1.525
1.53,,1.53,1.53
1.535,,1.535,1.535
1.54,,1.54,1.54
1.545,,1.545,1.545
1.55,,1.55,1.55
1.555,,1.555,1.555
1.56,,1.56,1.56
1.565,,1.565,1.565
1.57,,1.57,1.57
1.575,,1.575,1.575
1.58,,1.58,1.58
1.585,,1.585,1.585
1.59,,1.59,1.59
1.595,,1.595,1.595
1.6,,1.6,1.6
1.605,,1.605,1.605
1.61,,1.61,1.61
1.615,,1.615,1.615
1.62,,1.62,1.62
1.625,,1.625,1.625
1.63,,1.63,1.63
1.635,,1.635,1.635
1.64,,1.64,1.64
1.645,,1.645,1.645
1.65,,1.65,1.65
1.655,,1.655,1.655
1.66,,1.66,1.66
1.665,,1.665,1.665
1.67,,1.67,1.67
1.675,,1.675,1.675
1.68,,1.68,1.68
1.685,,1.685,1.685
1.69,,1.69,1.69
1.695,,1.695,1.695
1.7,,1.7,1.7
1.705,,1.705,1.705
1.71,,1.71,1.71
1.715,,1.715,1.715
1.72,,1.72,1.72
1.725,,1.725,1.725
1.73,,1.73,1.73
1.735,,1.735,1.735
1.74,,1.74,1.74
1.745,,1.745,1.745
1.75,,1.75,1.75
1.755,,1.755,1.755
1.76,,1.76,1.76
1.765,,1.765,1.765
1.77,,1.77,1.77
1.775,,1.775,1.775
1.78,,1.78,1.78
1.785,,1.785,1.785
1.79,,1.79,1.79
1.795,,1.795,1.795
1.8,,1.8,1.8
1.805,,1.805,1.805
1.81,,1.81,1.81
1.815,,1.815,1.815
1.82,,1.82,1.82
1.825,,1.825,1.825
1.83,,1.83,1.83
1.835,,1.835,1.835
1.84,,1.84,1.84
1.845,,1.845,1.845
1.85,,1.85,1.85
1.855,,1.855,1.855
1.86,,1.86,1.86
1.865,,1.865,1.865
1.87,,1.87,1.87
1.875,,1.875,1.875
1.88,,1.88,1.88
1.885,,1.885,1.885
1.89,,1.89,1.89
1.895,,1.895,1.895
1.9,,1.9,1.9
1.905,,1.905,1.905
1.91,,1.91,1.91
1.915,,1.915,1.915
1.92,,1.92,1.92
1.925,,1.925,1.925
1.93,,1.93,1.93
1.935,,1.935,1.935
1.94,,1.94,1.94
1.945,,1.945,1.945
1.95,,1.95,1.95
1.955,,1.955,1.955
1.96,,1.96,1.96
1.965,,1.965,1.965
1.97,,1.97,1.97
1.975,,1.975,1.975
1.98,,1.98,1.98
1.985,,1.985,1.985
1.99,,1.99,1.99
1.995,,1.995,1.995
2.0,,2.0,2.0
