method,hour,alpha,p2,p3,linepack,purchase_cost,cum_cost
DP-oracle,0,1.0,100.0,97.0,8880.0,0.0,0.0
DP-oracle,1,1.0,97.83,96.97,8770.0,0.0,0.0
DP-oracle,2,1.0,99.6,95.66,8806.7,0.0,0.0
DP-oracle,3,1.0,98.38,95.89,8754.6,0.0,0.0
DP-oracle,4,1.0,98.95,95.35,8761.3,0.0,0.0
DP-oracle,5,1.0,98.63,95.06,8733.7,0.0,0.0
DP-oracle,6,1.0,98.61,94.25,8700.4,0.0,0.0
DP-oracle,7,1.0,98.37,92.99,8637.9,0.0,0.0
DP-oracle,8,1.0,98.04,91.08,8545.2,0.0,0.0
DP-oracle,9,1.0,97.58,88.88,8434.4,0.0,0.0
DP-oracle,10,1.0,97.07,86.89,8329.0,0.0,0.0
DP-oracle,11,1.0,96.6,85.48,8248.9,0.0,0.0
DP-oracle,12,1.0,96.23,84.51,8191.8,0.0,0.0
DP-oracle,13,1.0,95.96,83.65,8144.1,0.0,0.0
DP-oracle,14,1.0,95.73,82.66,8093.1,0.0,0.0
DP-oracle,15,1.27,103.22,81.56,8423.2,1.3837,1.3837
DP-oracle,16,1.31,108.97,81.88,8723.6,1.4434,2.8272
DP-oracle,17,1.33,113.32,82.92,8982.8,1.401,4.2282
DP-oracle,18,1.0,98.87,84.56,8325.9,0.0,4.2282
DP-oracle,19,1.0,96.41,83.78,8171.7,0.0,4.2282
DP-oracle,20,1.0,95.9,83.62,8139.6,0.0,4.2282
DP-oracle,21,1.0,95.71,84.37,8160.0,0.0,4.2282
DP-oracle,22,1.0,95.76,85.67,8215.0,0.0,4.2282
DP-oracle,23,1.61,110.24,87.2,9000.1,1.1558,5.384
MPC,0,1.0,100.0,97.0,8880.0,0.0,0.0
MPC,1,1.0,97.83,96.97,8770.0,0.0,0.0
MPC,2,1.0,99.6,95.66,8806.7,0.0,0.0
MPC,3,1.0,98.38,95.89,8754.6,0.0,0.0
MPC,4,1.0,98.95,95.35,8761.3,0.0,0.0
MPC,5,1.0,98.63,95.06,8733.7,0.0,0.0
MPC,6,1.0,98.61,94.25,8700.4,0.0,0.0
MPC,7,1.0,98.37,92.99,8637.9,0.0,0.0
MPC,8,1.0,98.04,91.08,8545.2,0.0,0.0
MPC,9,1.0,97.58,88.88,8434.4,0.0,0.0
MPC,10,1.0,97.07,86.89,8329.0,0.0,0.0
MPC,11,1.0,96.6,85.48,8248.9,0.0,0.0
MPC,12,1.0,96.23,84.51,8191.8,0.0,0.0
MPC,13,1.0,95.96,83.65,8144.1,0.0,0.0
MPC,14,1.0,95.73,82.66,8093.1,0.0,0.0
MPC,15,1.27,103.22,81.56,8423.2,1.3837,1.3837
MPC,16,1.31,108.97,81.88,8723.6,1.4434,2.8272
