method,seed,kind,scenario,cost,viol,eff,tlp_gap,time
Rule,0,nominal,-1,22.94043038738732,19,0.8042831914856405,4385.105357472745,0.003092050552368164
Rule,0,perturb,0,23.000995023205327,19,0.8043556675203435,4357.476331055841,0.003092050552368164
Rule,0,perturb,1,23.91460210085919,19,0.8043176029539595,4363.663219816683,0.003092050552368164
Rule,0,perturb,2,22.99105867516079,19,0.8042928353272609,4384.8986373417265,0.003092050552368164
Rule,0,perturb,3,22.75891239774795,19,0.8043125118863834,4388.777895639098,0.003092050552368164
Rule,0,perturb,4,23.986238903392525,19,0.8045838271037762,4400.7616896274085,0.003092050552368164
Rule,0,perturb,5,23.39779369807707,19,0.8043286980646704,4345.249981411289,0.003092050552368164
GA,0,nominal,-1,3.8709956385517836,0,0.8323065793123768,4.328890740544011,11.097166776657104
GA,0,perturb,0,5.107194873303885,2,0.8298403321758233,36.52487669707989,11.097166776657104
GA,0,perturb,1,6.399871596558858,3,0.832083234329659,26.026332013338106,11.097166776657104
GA,0,perturb,2,3.858608918488989,0,0.8311774160077436,1.0705031367942865,11.097166776657104
GA,0,perturb,3,4.9324221791792,2,0.8338529046115895,14.860762526777762,11.097166776657104
GA,0,perturb,4,4.9883961600060545,0,0.8302029429994189,25.64873422677738,11.097166776657104
GA,0,perturb,5,3.888147451841892,4,0.8317234389643979,60.8452037592906,11.097166776657104
GA,1,nominal,-1,4.9289102575060815,0,0.8341516404104641,3.6400594277947675,10.911755084991455
GA,1,perturb,0,4.9278761746139175,0,0.8342651028225401,30.834985131030408,10.911755084991455
GA,1,perturb,1,7.022210673419123,0,0.8336313445766373,33.43912824657127,10.911755084991455
GA,1,perturb,2,5.934480878578411,0,0.8358675494503193,5.917010707540612,10.911755084991455
GA,1,perturb,3,4.9200721016546565,0,0.8335393690338417,7.230107647854311,10.911755084991455
GA,1,perturb,4,7.017396984572291,0,0.8323725621276866,22.25563764109029,10.911755084991455
GA,1,perturb,5,4.955168551845193,0,0.8315273466811988,62.05884700680326,10.911755084991455
GA,2,nominal,-1,4.0361321180437795,0,0.8279370368551643,51.957512459604914,11.251857042312622
GA,2,perturb,0,4.03687280163593,1,0.82495222629327,85.52557178966708,11.251857042312622
GA,2,perturb,1,6.7890602415099774,4,0.8220159948729052,95.04494925456129,11.251857042312622
GA,2,perturb,2,5.771251819247191,0,0.8273653966502245,55.00301769084035,11.251857042312622
GA,2,perturb,3,4.041405000594699,3,0.8249424508778116,63.353007920679374,11.251857042312622
GA,2,perturb,4,6.782371737081192,0,0.8223619051668845,33.04196095997395,11.251857042312622
GA,2,perturb,5,4.042116174800883,4,0.8223522712418605,107.26573332948283,11.251857042312622
GA,3,nominal,-1,9.98986959937419,0,0.8376697785443826,0.032079674610940856,10.905518054962158
GA,3,perturb,0,9.995800588413278,1,0.8378009466633226,28.300000021523374,10.905518054962158
GA,3,perturb,1,5.901609529614614,1,0.8378200365303107,32.63179959589252,10.905518054962158
GA,3,perturb,2,4.520020453074222,3,0.8369807939844502,104.99978324301628,10.905518054962158
GA,3,perturb,3,14.513898961111652,2,0.836809665558769,8.83785882194934,10.905518054962158
GA,3,perturb,4,5.8847069024106835,0,0.836073851503968,27.022738889698303,10.905518054962158
GA,3,perturb,5,10.038163252505138,4,0.8356716014161374,66.86189951058986,10.905518054962158
GA,4,nominal,-1,4.717649481804397,0,0.8309949559710638,6.5308499011844106,10.757138967514038
GA,4,perturb,0,4.719791769298357,1,0.8311013945983902,34.5374970947305,10.757138967514038
GA,4,perturb,1,5.827819132624203,2,0.8305491729216222,37.35840854138951,10.757138967514038
GA,4,perturb,2,4.435614152159873,3,0.8294817554754937,100.60076449860753,10.757138967514038
GA,4,perturb,3,4.711668344312188,1,0.8302781225061852,11.221822353742027,10.757138967514038
GA,4,perturb,4,5.813082805657423,0,0.8293928996716234,17.37117903655235,10.757138967514038
GA,4,perturb,5,4.750216445926266,4,0.8284505578045835,66.91216875237296,10.757138967514038
MPC,0,nominal,-1,5.383996938953955,0,0.8446177763242829,0.1288682795020577,1.0628199577331543
MPC,0,perturb,0,4.700974751880003,1,0.8418442975256145,45.61630724078168,1.0628199577331543
MPC,0,perturb,1,5.341916615527645,0,0.8448927958716218,31.40563923436457,1.0628199577331543
MPC,0,perturb,2,3.5752202970572373,0,0.841468567283195,40.67060791512995,1.0628199577331543
MPC,0,perturb,3,5.806119599477418,1,0.8407884673815396,26.12979158863891,1.0628199577331543
MPC,0,perturb,4,4.975062610409075,0,0.8464816599364683,27.54369892098839,1.0628199577331543
MPC,0,perturb,5,4.9386922115492,1,0.8448168594774249,5.282591090433925,1.0628199577331543
DP-oracle,0,nominal,-1,5.383996938953955,0,0.8446177763242829,0.1288682795020577,1.0533149242401123
DP-oracle,0,perturb,0,4.310794785416497,0,0.8370632297418426,50.534671613047976,1.0533149242401123
DP-oracle,0,perturb,1,5.305785122502642,0,0.8473287450302468,19.275074413057155,1.0533149242401123
DP-oracle,0,perturb,2,4.323878867936673,0,0.8431003312903155,4.266796165355117,1.0533149242401123
DP-oracle,0,perturb,3,5.832666713994124,0,0.8317358236111335,4.030147695561027,1.0533149242401123
DP-oracle,0,perturb,4,3.587746295109513,0,0.8383372217953203,49.624259888369124,1.0533149242401123
DP-oracle,0,perturb,5,6.635724304268195,0,0.8320110197810554,18.306176532889367,1.0533149242401123
SAC,0,nominal,-1,19.56148964570657,0,0.816041347537972,495.2930925669025,0.004764080047607422
SAC,0,perturb,0,23.829353685120992,0,0.8163044274397345,298.9877319354473,0.004764080047607422
SAC,0,perturb,1,19.451808018138674,0,0.8183259224347671,478.7157200249894,0.004764080047607422
SAC,0,perturb,2,21.180595215738165,0,0.8183535845211374,231.9875662304912,0.004764080047607422
SAC,0,perturb,3,24.321831537613594,0,0.8147276887556215,473.47385541551375,0.004764080047607422
SAC,0,perturb,4,11.555449988381199,0,0.8157161373711944,587.3013989618194,0.004764080047607422
SAC,0,perturb,5,21.536885449530548,0,0.8137966602513825,279.0155080010336,0.004764080047607422
TD3,0,nominal,-1,30.496368226587155,0,0.8204312014822918,11.812113594965922,0.0042209625244140625
TD3,0,perturb,0,30.72953128333107,0,0.8188822487488,101.09536723848214,0.0042209625244140625
TD3,0,perturb,1,20.736047223345167,0,0.8326525412533337,389.54051354691,0.0042209625244140625
TD3,0,perturb,2,29.496841063898064,0,0.813328413252186,70.59111900853532,0.0042209625244140625
TD3,0,perturb,3,29.505452940018337,0,0.8180576308525879,259.13799849317184,0.0042209625244140625
TD3,0,perturb,4,18.600929413586098,0,0.8341503691912339,280.60359606635575,0.0042209625244140625
TD3,0,perturb,5,28.711702240754036,0,0.8218911650728012,13.703730391918725,0.0042209625244140625
PPO,0,nominal,-1,9.10267689800563,0,0.8509354942935223,664.1693899727743,0.0035088062286376953
PPO,0,perturb,0,9.484622469261392,0,0.8545872161063368,634.8111148174448,0.0035088062286376953
PPO,0,perturb,1,10.417925999784973,0,0.856334871366486,535.2287675797706,0.0035088062286376953
PPO,0,perturb,2,8.171272087597274,0,0.8476406189201778,721.1466050705967,0.0035088062286376953
PPO,0,perturb,3,8.895240227584983,0,0.8484752729542416,694.0974330220197,0.0035088062286376953
PPO,0,perturb,4,5.113469662230072,0,0.8454214015969788,759.7724175523472,0.0035088062286376953
